Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Magazin Mixt,"Strada Salciei 5, Bragadiru",44.37596050000001,25.9774661,2400,7.515133333333334,0.0511513333333333
MOL,"Strada Speranței 88, Bragadiru",44.3852537,26.0014148,2400,7.515133333333334,0.0511513333333333
MINIMARKET LA STRADA SRL,"Strada Taberei 55, Cornetu",44.3463404,25.960315,2400,7.515133333333334,0.0511513333333333
BARBONEDISTRIBUTIONE,"Șoseaua Alexandriei Nr.60, Bragadiru",44.3902654,26.0173784,2400,7.515133333333334,0.0511513333333333
Matedco Market,"Strada Safirului 167, Bragadiru",44.3926419,26.0041217,2400,7.515133333333334,0.0511513333333333
La Nana,"Drum Bragadiru, București",44.3849632,26.0403032,2700,8.48671875,0.0578671875
La Blok,"Șoseaua București-Măgurele 47N, București",44.3868848,26.0473867,2700,8.48671875,0.0578671875
Magazin Alimentar,"Strada Găgești 37, București",44.3915121,26.0424005,2700,8.48671875,0.0578671875
magazin,Cornetu,44.3435073,25.943035,2400,7.515133333333334,0.0511513333333333
MOL,"Șoseaua Giurgiului 200, București",44.37725799999999,26.0908601,2500,8.465529411764706,0.059655294117647
Gama Echipamente,"Șoseaua Giurgiului 5, Jilava",44.3612563,26.0877764,2500,8.465529411764706,0.059655294117647
Magazin cu sucuri,"Intrarea Tiparniţei 2a, București",44.3742712,26.0821523,2700,8.48671875,0.0578671875
Alex Import Export,Jilava,44.345949,26.0832879,2500,8.465529411764706,0.059655294117647
Magazin La Jan,"Strada Anghel Moldoveanu 33, București",44.3727376,26.0949891,2500,8.465529411764706,0.059655294117647
Marisan Preț De Producător,"Șoseaua Giurgiului 182, București",44.3791445,26.0916105,2500,8.465529411764706,0.059655294117647
LA DOI PAȘI,"Prelungirea Ferentari 109, București",44.390245,26.0810998,2700,8.48671875,0.0578671875
Jilava,Jilava,44.3261039,26.0732573,2500,8.465529411764706,0.059655294117647
Froo,"Șoseaua Giurgiului 125, București",44.3836739,26.0929209,2500,8.465529411764706,0.059655294117647
Ilie Gurița,"Strada Ilie Guriţă, București",44.3980512,26.0750511,2700,8.48671875,0.0578671875
MyAuchan,"Strada Luica 164-168, București",44.3766139,26.1059867,2500,8.465529411764706,0.059655294117647
Froo,"Bloc L23, Șoseaua Alexandriei 84, București",44.4032206,26.0568397,2700,8.48671875,0.0578671875
La Doi Paşi,Romania,44.4007907,26.0715227,2700,8.48671875,0.0578671875
Magazin alimentar,"Drumul Dealul Cucului 25, București",44.3691027,26.1105222,2500,8.465529411764706,0.059655294117647
MOL,"Strada Turnu Măgurele 110-112, București",44.37573,26.11884,2500,8.465529411764706,0.059655294117647
MOL,"Strada Măriuca 67, București",44.38215939999999,26.13298829999999,2500,8.465529411764706,0.059655294117647
MOL,"Strada Sergent Ion Iriceanu 25-53, București",44.38372880000001,26.1383791,2500,8.465529411764706,0.059655294117647
Shop & Go Mega Image,"Drumul Fermei 123, Popești-Leordeni",44.36429830000001,26.1490027,2500,8.465529411764706,0.059655294117647
MOL,"Șoseaua Olteniței 83A, București",44.39473,26.12006,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Olteniței 48-50, București",44.3990344,26.1067075,2500,8.465529411764706,0.059655294117647
R&D Market,"Bulevardul Metalurgiei, București",44.37036550000001,26.1237566,2500,8.465529411764706,0.059655294117647
Stâna Sibianului,"Bulevardul Metalurgiei 14, București",44.37414329999999,26.1202523,2500,8.465529411764706,0.059655294117647
Shop&Go,"Drumul Binelui, București",44.37233069999999,26.1249036,2500,8.465529411764706,0.059655294117647
La Ionuț,"Aleea Covasna 10, București",44.3808431,26.1114174,2500,8.465529411764706,0.059655294117647
Mega Image Drumul Jilavei 89F-89G,"89f-89g, Drumul Jilavei 89f, București",44.3713257,26.1287877,2500,8.465529411764706,0.059655294117647
O block,"Strada Vatra Dornei 8, București",44.3831094,26.111689,2500,8.465529411764706,0.059655294117647
Family Market,"Dumitru Brumarescu 14, București",44.36116699999999,26.1366614,2500,8.465529411764706,0.059655294117647
Froo,"Șoseaua Giurgiului 103 - 105, București",44.3932511,26.0944358,2500,8.465529411764706,0.059655294117647
Minimarket,"Langa BCR, Șoseaua Berceni 25, București",44.38656049999999,26.1285931,2500,8.465529411764706,0.059655294117647
Magazin alimentar,"Strada Măgurei 7, București",44.3944256,26.09341139999999,2700,8.48671875,0.0578671875
La doi pași,"Bulevardul Constantin Brâncoveanu nr. 10, parter, București",44.39429589999999,26.10949170000001,2500,8.465529411764706,0.059655294117647
Pena Prod Trade,"Strada Dolhasca, București",44.39440009999999,26.1165659,2500,8.465529411764706,0.059655294117647
Froo,"Drumul Fermei 95, Popești-Leordeni",44.3677497,26.1517499,2500,8.465529411764706,0.059655294117647
LaDoiPași EXTRA Amurgului,"Strada Amurgului 23B, Popești-Leordeni",44.37411849999999,26.1507261,2500,8.465529411764706,0.059655294117647
