Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Bazar Bragadiru,"Șoseaua Alexandriei 229, Bragadiru",44.3726274,25.9791178,2400,7.515133333333334,0.0511513333333333
Anono Shopping Center,"Strada Smârdan 5-7, Bragadiru",44.3876313,26.0124669,2400,7.515133333333334,0.0511513333333333
easy shop giurgiului,"nr124B, Șoseaua Giurgiului, București",44.3861313,26.0918838,2500,8.465529411764706,0.059655294117647
Serena Exim S.R.L.,"Strada Ostrov 17, București",44.3970776,26.0914897,2700,8.48671875,0.0578671875
Slei,"Strada Amurgului 74, Popești-Leordeni",44.3670715,26.1458342,2500,8.465529411764706,0.059655294117647
Slei,"Strada Amurgului 30, Popești-Leordeni",44.3731759,26.1498637,2500,8.465529411764706,0.059655294117647
BUSSK MARKETPLACE,"Șoseaua Olteniței 31, București",44.3978336,26.1114818,2500,8.465529411764706,0.059655294117647
Slei,"Şoseaua Olteniţei 60, Popești-Leordeni",44.3795647,26.16791139999999,3000,10.157941176470588,0.0715794117647058
Vitan Flea Market,"STAND SA9-SB9, Splaiul Unirii 450, București",44.402361,26.14347,3000,10.157941176470588,0.0715794117647058
Bebe Tei Plaza Romania,"Bulevardul Timișoara 26, București",44.4289051,26.0357824,2400,7.515133333333334,0.0511513333333333
ConnectReal,"Drumul Timonierului 26, București",44.43087939999999,26.0271232,2400,7.515133333333334,0.0511513333333333
Primark,"Bulevardul General Paul Teodorescu 4, București",44.43131819999999,26.0502661,2400,7.515133333333334,0.0511513333333333
OVS Kids,Spatiou Comercial A120 AFI Palace Cotroceni,44.4308388,26.0538702,2400,7.515133333333334,0.0511513333333333
Geri Trading S.R.L.,"Calea Rahovei, București",44.415306,26.07547,2700,8.48671875,0.0578671875
Somaro - magazin social,"Strada Cameliei, București",44.4453934,26.0816443,3500,5.668220588235294,0.0216822058823529
Ultra Casa,"Strada Izvor 78, București",44.4301496,26.083363,2700,8.48671875,0.0578671875
Market Gold,"Strada Cuza Vodă 55, București",44.4220426,26.1061685,2700,8.48671875,0.0578671875
ADRA Plast S.R.L.,"Strada Orzari 64A, București",44.4335225,26.1337956,2800,9.677894736842106,0.068778947368421
ParkLake Shopping Center,"Strada Liviu Rebreanu 4, București",44.42058659999999,26.1496199,3000,10.157941176470588,0.0715794117647058
Lan Mega Store,"Calea Vitan 11, București",44.423269,26.124147,2800,9.677894736842106,0.068778947368421
Bebe Tei -Vitan,"Calea Vitan 55-59, București",44.4204362,26.1268606,2500,8.465529411764706,0.059655294117647
Primark,"Strada Liviu Rebreanu 4, București",44.4211373,26.1497313,3000,10.157941176470588,0.0715794117647058
Shopmix,"Intrarea Odobești nr.8, București",44.418205,26.152974,3000,10.157941176470588,0.0715794117647058
Alfa For You,"Strada Trapezului 1, București",44.4104617,26.1727441,3000,10.157941176470588,0.0715794117647058
Ideall Store,"Drumul Gura Făgetului 21, București",44.4136822,26.1884316,3000,10.157941176470588,0.0715794117647058
SMART AUTO CASA,"Strada Avram Iancu 19, Dobroești",44.44646319999999,26.1862589,3000,10.157941176470588,0.0715794117647058
SU Market,"E85, București",44.49902689999999,26.2087321,3000,10.157941176470588,0.0715794117647058
