Name,Address,Latitude,Longitude
Bazar Bragadiru,"Șoseaua Alexandriei 229, Bragadiru",44.3726274,25.9791178
Anono Shopping Center,"Strada Smârdan 5-7, Bragadiru",44.3876313,26.0124669
easy shop giurgiului,"nr124B, Șoseaua Giurgiului, București",44.3861313,26.0918838
Serena Exim S.R.L.,"Strada Ostrov 17, București",44.3970776,26.0914897
Slei,"Strada Amurgului 74, Popești-Leordeni",44.3670715,26.1458342
Slei,"Strada Amurgului 30, Popești-Leordeni",44.3731759,26.1498637
BUSSK MARKETPLACE,"Șoseaua Olteniței 31, București",44.3978336,26.1114818
Slei,"Şoseaua Olteniţei 60, Popești-Leordeni",44.3795647,26.16791139999999
Vitan Flea Market,"STAND SA9-SB9, Splaiul Unirii 450, București",44.402361,26.14347
Bebe Tei Plaza Romania,"Bulevardul Timișoara 26, București",44.4289051,26.0357824
ConnectReal,"Drumul Timonierului 26, București",44.43087939999999,26.0271232
Primark,"Bulevardul General Paul Teodorescu 4, București",44.43131819999999,26.0502661
OVS Kids,Spatiou Comercial A120 AFI Palace Cotroceni,44.4308388,26.0538702
Geri Trading S.R.L.,"Calea Rahovei, București",44.415306,26.07547
Somaro - magazin social,"Strada Cameliei, București",44.4453934,26.0816443
Ultra Casa,"Strada Izvor 78, București",44.4301496,26.083363
Market Gold,"Strada Cuza Vodă 55, București",44.4220426,26.1061685
ADRA Plast S.R.L.,"Strada Orzari 64A, București",44.4335225,26.1337956
ParkLake Shopping Center,"Strada Liviu Rebreanu 4, București",44.42058659999999,26.1496199
Lan Mega Store,"Calea Vitan 11, București",44.423269,26.124147
Bebe Tei -Vitan,"Calea Vitan 55-59, București",44.4204362,26.1268606
Primark,"Strada Liviu Rebreanu 4, București",44.4211373,26.1497313
Shopmix,"Intrarea Odobești nr.8, București",44.418205,26.152974
Alfa For You,"Strada Trapezului 1, București",44.4104617,26.1727441
Ideall Store,"Drumul Gura Făgetului 21, București",44.4136822,26.1884316
SMART AUTO CASA,"Strada Avram Iancu 19, Dobroești",44.44646319999999,26.1862589
SU Market,"E85, București",44.49902689999999,26.2087321
Primark,Strada Izvor 78,44.4301496,26.083363
Primark,C38G+45 Bucharest,44.415306,26.07547
