Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Lidl,"Șoseaua Alexandriei 229A, Bragadiru",44.37280940000001,25.9804169,2400,7.515133333333334,0.0511513333333333
Mega Image,"Șoseaua Alexandriei 468, Bragadiru",44.3716613,25.9767936,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Speranței 77, Bragadiru",44.3838097,26.003895,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Atomiștilor 411, Măgurele",44.34919259999999,26.0318255,2700,8.48671875,0.0578671875
Mega Image,Vârteju,44.359602,25.9940902,2400,7.515133333333334,0.0511513333333333
Kaufland,"Șoseaua Alexandriei 229, Bragadiru",44.3714722,25.9799957,2400,7.515133333333334,0.0511513333333333
Mega Image,"Strada Crișul Repede 165, Bragadiru",44.37665519999999,26.0114103,2400,7.515133333333334,0.0511513333333333
Mega Image,Bragadiru,44.36928499999999,25.9744162,2400,7.515133333333334,0.0511513333333333
LA DOI PAȘI,"Strada Libertății 110, Comuna Grădiștea",44.381307,26.0023259,2400,7.515133333333334,0.0511513333333333
Alis Market,Bragadiru,44.3816408,26.0004759,2400,7.515133333333334,0.0511513333333333
Penny,"Strada Clinceni 8, Bragadiru",44.36652109999999,25.9686984,2400,7.515133333333334,0.0511513333333333
Phoenix Market,Măgurele,44.3506446,26.0303547,2700,8.48671875,0.0578671875
Geny Com Nazuintei Bragadiru,"Strada Năzuinței nr. 10, Bragadiru",44.3835474,26.0049421,2400,7.515133333333334,0.0511513333333333
ANA MARKET,"Strada Generalului 14, Bragadiru",44.38243729999999,26.0157389,2400,7.515133333333334,0.0511513333333333
Profi,"Strada Speranței 69, Bragadiru",44.3850845,26.0027649,2400,7.515133333333334,0.0511513333333333
Penny,"Strada Atomiștilor 373, Măgurele",44.3518789,26.0333541,2700,8.48671875,0.0578671875
Lidl,"Strada Atomiștilor 261, Măgurele",44.35626300000001,26.0351497,2700,8.48671875,0.0578671875
Kaufland,"Șoseaua Alexandriei 182, Bragadiru",44.386325,26.0027848,2400,7.515133333333334,0.0511513333333333
MINI MARKET Big house investment 2,"Strada Generalului 2, Bragadiru",44.383228,26.0176367,2400,7.515133333333334,0.0511513333333333
Daboco supermarket_2,"Strada Generalului 2, Bragadiru",44.38322899999999,26.0176624,2400,7.515133333333334,0.0511513333333333
S.C. Geny Com Prod Impex S.R.L.,"Strada Speranței 30-32, Bragadiru",44.3874127,26.0085058,2400,7.515133333333334,0.0511513333333333
