Name,Address,Latitude,Longitude
Walgreens,"7001 Amboy Road, Staten Island",40.5161908,-74.2339765
Walgreens,"655 Rossville Avenue, Staten Island",40.54268789999999,-74.2064221
Sunoco Gas Station,"15 Page Avenue, Staten Island",40.5243769,-74.2343625
7-Eleven,"15 Page Avenue, Staten Island",40.5241205,-74.2343941
CVS,"250 Page Avenue, Staten Island",40.51719360000001,-74.23537759999999
CVS,"5830 Amboy Road, Staten Island",40.5255981,-74.20154339999999
Shell,"6778 Hylan Boulevard, Staten Island",40.50754,-74.22966
variety convenience store,"27 Seguine Avenue, Staten Island",40.5258832,-74.2004307
Get n' Go,"6276 Amboy Road, Staten Island",40.5238536,-74.2151124
Tottenville Bagels Inc,"6959 Amboy Road, Staten Island",40.5167353,-74.23288099999999
Amboy Food Mart,"7254 Amboy Road, Staten Island",40.5117653,-74.2393281
Town & Country Deli,"7299 Amboy Road, Staten Island",40.51156900000001,-74.24085699999999
Borders Convenience Store,"5271 Arthur Kill Road, Staten Island",40.51512649999999,-74.24530349999999
Quick Stop Delicatessen,"4707 Arthur Kill Road, Staten Island",40.527972,-74.2397653
Shell,"4244 Hylan Boulevard, Staten Island",40.53639869999999,-74.1511688
CVS,"4055 Hylan Boulevard, Staten Island",40.5409209,-74.1475993
Armstrong Convenience,"4203 Hylan Boulevard, Staten Island",40.53777350000001,-74.150581
Vania corp,"4032 Hylan Boulevard, Staten Island",40.5412259,-74.1466481
Great Kill Superette Corp,"3997 Hylan Boulevard, Staten Island",40.5423618,-74.14623080000001
Hot Bagel & Juice Bar Inc,"3962 Richmond Avenue, Staten Island",40.54147909999999,-74.16292279999999
I Love Newyork Convenience,United States,40.542553,-74.16546249999999
McFly's On The Hook,"53 McNair Road Fort Hancock, 53 McNair Road, Highlands",40.4612653,-74.0028823
Rite Aid,"43-68 Amboy Road, Staten Island",40.544619,-74.160625
CVS,"640 Arthur Kill Road, Staten Island",40.5595475,-74.1628515
Walgreens,"758 Arthur Kill Road, Staten Island",40.55981529999999,-74.16648649999999
Bolla Market,"868 Arthur Kill Road, Staten Island",40.560756,-74.1692413
Alessi & Sons,"4275 Arthur Kill Road, Staten Island",40.5379314,-74.23778709999999
Shell,"1769 Arthur Kill Road, Staten Island",40.559309,-74.1975695
Delta Gas,"685 Port Reading Avenue, Port Reading",40.5698446,-74.2418814
Krauszer's Food Stores,"643 Port Reading Avenue, Port Reading",40.5694358,-74.2439521
Metro Mart Inc.,"2655 Richmond Avenue #2373, Staten Island",40.58092570000001,-74.1659935
CVS,"4065 Amboy Road, Staten Island",40.54971630000001,-74.1523536
Shell,"3701 Amboy Road, Staten Island",40.553069,-74.14290199999999
CVS,"260 Arden Avenue, Staten Island",40.5530978,-74.1923432
Grub & Co,"1781 Arthur Kill Road, Staten Island",40.55884949999999,-74.19841989999999
Grab N Go,"2298 Arthur Kill Road, Staten Island",40.55597050000001,-74.21249879999999
Westshore convenience,"585 Veterans Road West, Staten Island",40.54852650000001,-74.221899
Arden Minimart Inc,"1307 Arthur Kill Road, Staten Island",40.565502,-74.184059
"24 Hr MiniMart, Inc.","3835 Richmond Avenue, Staten Island",40.5446755,-74.1652596
Sajjad Mini Mart,"3835 Richmond Avenue, Staten Island",40.544664,-74.165217
EMPIRE BAGLES & MORE,"758 Arthur Kill Road, Staten Island",40.5598091,-74.166336
The Market At Carteret,"101 Roosevelt Avenue Suite B, Carteret",40.57194560000001,-74.224653
Cooke Avenue Food Mart,"24 Cooke Avenue, Carteret",40.5771447,-74.22034649999999
Krauszer's Food Store,"129 Washington Avenue, Carteret",40.5782957,-74.2257314
Racestar Foodmart And Deli,"151 Washington Avenue, Carteret",40.578922,-74.22663899999999
Petro Express / Phillips 66,"753 Port Reading Avenue, Port Reading",40.5704176,-74.2382149
Phillips 66,"753 Port Reading Avenue, Port Reading",40.5704837,-74.23824960000002
Amboy Superstar Convenience,"4020 Amboy Road, Staten Island",40.549961,-74.1507029
Great kills convenience,"28 Giffords Lane, Staten Island",40.551426,-74.1505312
TU TIENDA FAVORITA LLC,"677 Roosevelt Avenue, Carteret",40.5843411,-74.2224641
Big E's Deli,"172 West Service Road, Staten Island",40.5893932,-74.1942286
bp shop,"756 Roosevelt Avenue, Carteret",40.5865799,-74.2258544
Duane Reade,"3155 Amboy Road, Staten Island",40.5646937,-74.1339845
Convenient Food Mart,"2 New Dorp Lane, Staten Island",40.575504,-74.1198802
CVS,"2690 Hylan Boulevard, Staten Island",40.56660369999999,-74.1132141
R&R Convenience,"3185 Richmond Road, Staten Island",40.5759196,-74.12755159999999
CVS,"2465 Richmond Avenue, Staten Island",40.58761599999999,-74.1663375
Rose 1 Convenience Store,"118 Rose Avenue, Staten Island",40.5735301,-74.1184246
Convenience Store,"83 New Dorp Plaza, Staten Island",40.5733456,-74.11803789999999
7-Eleven,"2477 Hylan Boulevard, Staten Island",40.5709549,-74.1100024
Speedway,"2488 Hylan Boulevard, Staten Island",40.5705804,-74.1092359
Springvill Variety,"77 Richmond Hill Road, Staten Island",40.58825689999999,-74.1649606
Nome Superette & Bagels Inc.,"452 Nome Avenue, Staten Island",40.58988899999999,-74.16495499999999
Nome’s best,"460 Nome Avenue, Staten Island",40.5900399,-74.1652482
7-Eleven,"103 Lincoln Avenue, Staten Island",40.5799624,-74.1089241
A & M Bagels and Deli Inc,"114 Lincoln Avenue, Staten Island",40.5792958,-74.10879
Walgreens,"1759 Hylan Boulevard, Staten Island",40.5864176,-74.0926956
Shell,"1635 Hylan Boulevard, Staten Island",40.5887121,-74.09051079999999
Shop Smart Food Mart,"590 Midland Avenue, Staten Island",40.5718237,-74.0927085
Andy convenience,"465 Midland Avenue, Staten Island",40.5747339,-74.0969664
Bolla Market,"2150 Hylan Boulevard, Staten Island",40.5781319,-74.10178549999999
7-Eleven,"1740 Hylan Boulevard, Staten Island",40.5862105,-74.0919835
High end convenience,"1722 Hylan Boulevard, Staten Island",40.5867836,-74.09154819999999
Noor Convenience (99¢ Store),"1755 Richmond Road, Staten Island",40.5876039,-74.1035888
Railroad Quickstop,"635 North Railroad Avenue, Staten Island",40.5892107,-74.09606339999999
Seaview conveience,"82 Seaview Avenue, Staten Island",40.5896772,-74.0986728
Walgreens,"713 Brighton Beach Avenue, Brooklyn",40.57808589999999,-73.9600786
7-Eleven,"708 Brighton Beach Avenue, Brooklyn",40.57771779999999,-73.96002419999999
"Rocco's Bagels, Deli & Grill","117 Brighton Beach Avenue, Brooklyn",40.5765182,-73.9676046
CVS,"532 Neptune Avenue Ste 1, Brooklyn",40.5796397,-73.97269299999999
Shell,"3072 Cropsey Avenue, Brooklyn",40.5803597,-73.9858857
Island Mini Mart 1 Corp,"3222 Mermaid Avenue, Brooklyn",40.574833,-73.999191
Island deli Corp,"3202 Mermaid Avenue, Brooklyn",40.57492380000001,-73.9986332
OMEGA Convenience,"3106 Mermaid Avenue, Brooklyn",40.5750718,-73.9977877
Coney Grocery & Smoke Shop,"2803 Mermaid Avenue, Brooklyn",40.5756635,-73.9945637
Coney Island deli convenience,"2115 Surf Avenue, Brooklyn",40.57458689999999,-73.98856599999999
Leemuma African Food,"3415 Neptune Avenue, Brooklyn",40.578214,-74.0029584
Bolla Market,"1702 Neptune Avenue, Brooklyn",40.578666,-73.98590709999999
Speedway,"1620 Neptune Avenue, Brooklyn",40.57869410000001,-73.9849839
First Stop Convenience Candy & Snacks,"1413 Neptune Avenue, Brooklyn",40.57936470000001,-73.9825553
M.V. Quick Stop Corp,"2875 West 8th Street, Brooklyn",40.5777018,-73.97611950000001
