Name,Address,Latitude,Longitude,Income,Density,Traffic
Target,"2900 Veterans Road West, Staten Island",40.52874370000001,-74.23235319999999,103200.0,2786.24347826087,2.6830434782608696
T.J. Maxx,"245 Bricktown Way, Staten Island",40.5299419,-74.2321693,103200.0,2786.24347826087,2.6830434782608696
HomeGoods,"165 Bricktown Way Ste 1d, Staten Island",40.52824979999999,-74.2284263,103200.0,2786.24347826087,2.6830434782608696
Costco Wholesale,"2975 Richmond Avenue, Staten Island",40.5728124,-74.16876859999999,103200.0,2786.24347826087,2.6830434782608696
Macy's,"100 Richmond Hill Road, Staten Island",40.5835395,-74.1652824,81111.0,2295.704347826087,2.2145933478260877
JCPenney,"140 Marsh Avenue, Staten Island",40.5812698,-74.16377039999999,81111.0,2295.704347826087,2.2145933478260877
Macy's Furniture Gallery,"98 Richmond Hill Road, Staten Island",40.58527000000001,-74.165886,81111.0,2295.704347826087,2.2145933478260877
HomeGoods,"2875 Richmond Avenue, Staten Island",40.5743605,-74.1675978,103200.0,2786.24347826087,2.6830434782608696
Target,"2873 Richmond Avenue, Staten Island",40.5748084,-74.1667899,103200.0,2786.24347826087,2.6830434782608696
Primark,"2655 Richmond Avenue, Staten Island",40.58168059999999,-74.1659492,81111.0,2295.704347826087,2.2145933478260877
Sunglass Hut at Macy's,"100 Richmond Hill Road, Staten Island",40.5837022,-74.1656635,81111.0,2295.704347826087,2.2145933478260877
T.J. Maxx,"2530 Hylan Boulevard, Staten Island",40.569597,-74.10927500000001,81111.0,2295.704347826087,2.2145933478260877
Marshalls,"2485 Richmond Avenue, Staten Island",40.5874064,-74.1669661,81111.0,2295.704347826087,2.2145933478260877
Lot-Less,"3155 Amboy Road, Staten Island",40.5644268,-74.1339744,81111.0,2295.704347826087,2.2145933478260877
HomeGoods,"2718 Hylan Boulevard, Staten Island",40.56513899999999,-74.11303,81111.0,2295.704347826087,2.2145933478260877
Marshalls,"2656 Hylan Boulevard, Staten Island",40.5672781,-74.1125576,81111.0,2295.704347826087,2.2145933478260877
Kohl's,"8973 Bay Parkway Ste 1, Brooklyn",40.593163,-74.00099999999999,55977.0,2622.2046109510084,2.5662276109510085
DII Deals & Discounts,"626 Sheepshead Bay Road, Brooklyn",40.57877980000001,-73.9753709,41541.0,1502.564841498559,1.461023841498559
Jackie's Department Store,"132 Brighton Beach Avenue, Brooklyn",40.57625729999999,-73.96702909999999,41541.0,1502.564841498559,1.461023841498559
Target,"8973-95 Bay Parkway, Brooklyn",40.59391929999999,-74.00118479999999,55977.0,2622.2046109510084,2.5662276109510085
Marshalls,"1623 Avenue Y, Brooklyn",40.5904065,-73.95306830000001,64106.0,2300.4322766570604,2.23632627665706
Macy's,"2027 Emmons Avenue, Brooklyn",40.584123,-73.946919,64106.0,2300.4322766570604,2.23632627665706
Burlington,"1801 South Avenue, Staten Island",40.6012756,-74.1917814,103200.0,2786.24347826087,2.6830434782608696
Target,"621 West Edgar Road, Linden",40.61902969999999,-74.24342659999999,103200.0,2786.24347826087,2.6830434782608696
Kohl's,"2239 Forest Avenue, Staten Island",40.62818190000001,-74.1649156,72727.0,1900.704347826087,1.827977347826087
Marshalls,"625 West Edgar Road, Linden",40.6187501,-74.2446763,103200.0,2786.24347826087,2.6830434782608696
Burlington,"1701 West Edgar Road Units C D, Linden",40.6125099,-74.2544302,103200.0,2786.24347826087,2.6830434782608696
T.J. Maxx,"1701 West Edgar Road, Linden",40.6126546,-74.2544297,103200.0,2786.24347826087,2.6830434782608696
DII Deals & Discounts,"DII Stores, 2040 Forest Avenue, Staten Island",40.62478360000001,-74.1567499,72727.0,1900.704347826087,1.827977347826087
Jembro Stores,"1756 Forest Avenue, Staten Island",40.6246599,-74.14727789999999,72727.0,1900.704347826087,1.827977347826087
T.J. Maxx & HomeGoods,"1509 Forest Avenue, Staten Island",40.6263776,-74.1378734,72727.0,1900.704347826087,1.827977347826087
Telco Stores,"1399 Forest Avenue, Staten Island",40.6253738,-74.1358413,72727.0,1900.704347826087,1.827977347826087
Target,"1520 Forest Avenue, Staten Island",40.6239435,-74.1390651,72727.0,1900.704347826087,1.827977347826087
Apple Department Store III,"102 Port Richmond Avenue, Staten Island",40.6387216,-74.1333092,72727.0,1900.704347826087,1.827977347826087
Coast Guard Exchange,"228 Coast Guard Drive, Staten Island",40.6036691,-74.06380430000002,81111.0,2295.704347826087,2.2145933478260877
Pride African & Caribbean Str,"197 Broad Street, Staten Island",40.6242072,-74.0814383,72727.0,1900.704347826087,1.827977347826087
De Luca General Store,"1253 Bay Street, Staten Island",40.6128496,-74.065005,81111.0,2295.704347826087,2.2145933478260877
Marshalls,"1832 86th Street, Brooklyn",40.6062901,-74.002099,55977.0,2622.2046109510084,2.5662276109510085
DII Deals & Discounts,"8701 4th Avenue, Brooklyn",40.6216335,-74.028446,73633.0,1793.8184438040344,1.7201854438040345
DII Deals & Discounts,"6910 5th Avenue, Brooklyn",40.63327659999999,-74.0212568,73633.0,1793.8184438040344,1.7201854438040345
American Place At 86 Street,"1818 86th Street Unit 3, Brooklyn",40.60676439999999,-74.0021471,55977.0,2622.2046109510084,2.5662276109510085
Hakam Shop 尚品优选,"848 64th Street, Brooklyn",40.6322757,-74.0107512,57754.0,2757.665706051873,2.6999117060518727
T.J. Maxx,"1630 East 15th Street, Brooklyn",40.6092298,-73.9585137,64106.0,2300.4322766570604,2.23632627665706
National Wholesale Liquidators,"2201 59th Street, Brooklyn",40.61712709999999,-73.9772152,55977.0,2622.2046109510084,2.5662276109510085
Telco Stores,"6708 18th Avenue, Brooklyn",40.617711,-73.9919761,55977.0,2622.2046109510084,2.5662276109510085
Target,"6401 18th Avenue, Brooklyn",40.6192661,-73.9891552,55977.0,2622.2046109510084,2.5662276109510085
Telco Stores,"109 Avenue U, Brooklyn",40.59646310000001,-73.9801804,55977.0,2622.2046109510084,2.5662276109510085
LotStop,"2018 Stillwell Avenue, Brooklyn",40.5971966,-73.9855201,55977.0,2622.2046109510084,2.5662276109510085
PINK TREE INC.,"7018 18th Avenue, Brooklyn",40.61601,-73.99370979999999,55977.0,2622.2046109510084,2.5662276109510085
NEVER2MUCH MARKET,"1989 Coney Island Avenue, Brooklyn",40.6087442,-73.9619444,64106.0,2300.4322766570604,2.23632627665706
Target,"1715 East 13th Street, Brooklyn",40.60766909999999,-73.9595762,64106.0,2300.4322766570604,2.23632627665706
Marshalls,"1710 East 14th Street, Brooklyn",40.6077131,-73.9593117,64106.0,2300.4322766570604,2.23632627665706
Telco Stores,"1702 Kings Highway, Brooklyn",40.6094357,-73.9562732,64106.0,2300.4322766570604,2.23632627665706
5606 Discount Store Corporation,"5606 5th Avenue, Brooklyn",40.6417402,-74.014166,58841.0,1818.8760806916423,1.7600350806916425
Telco Stores,"2901 Avenue U, Brooklyn",40.600587,-73.942655,64106.0,2300.4322766570604,2.23632627665706
Target,"1598 Flatbush Avenue, Brooklyn",40.6315059,-73.9467515,66097.0,2315.0432276657057,2.248946227665705
Macy's,"5400 Avenue U, Brooklyn",40.6105232,-73.9191614,64106.0,2300.4322766570604,2.23632627665706
HomeGoods,"2201 Nostrand Avenue, Brooklyn",40.6313809,-73.9466496,66097.0,2315.0432276657057,2.248946227665705
Telco Stores,"Parking lot, 1910 Ralph Avenue, Brooklyn",40.63080069999999,-73.91915010000001,76340.0,2788.8040345821323,2.712464034582132
Burlington,"5202 Kings Plaza, Brooklyn",40.6091041,-73.92033459999999,64106.0,2300.4322766570604,2.23632627665706
Primark,"5100 Kings Plaza, Brooklyn",40.6090732,-73.9201487,64106.0,2300.4322766570604,2.23632627665706
Target,"5100 Kings Plaza Ste 2201, Brooklyn",40.6098704,-73.9196736,64106.0,2300.4322766570604,2.23632627665706
