Name,Address,Latitude,Longitude
Target,"2900 Veterans Road West, Staten Island",40.52874370000001,-74.23235319999999
T.J. Maxx,"245 Bricktown Way, Staten Island",40.5299419,-74.2321693
HomeGoods,"165 Bricktown Way Ste 1d, Staten Island",40.52824979999999,-74.2284263
Costco Wholesale,"2975 Richmond Avenue, Staten Island",40.5728124,-74.16876859999999
Macy's,"100 Richmond Hill Road, Staten Island",40.5835395,-74.1652824
JCPenney,"140 Marsh Avenue, Staten Island",40.5812698,-74.16377039999999
Macy's Furniture Gallery,"98 Richmond Hill Road, Staten Island",40.58527000000001,-74.165886
HomeGoods,"2875 Richmond Avenue, Staten Island",40.5743605,-74.1675978
Target,"2873 Richmond Avenue, Staten Island",40.5748084,-74.1667899
Primark,"2655 Richmond Avenue, Staten Island",40.58168059999999,-74.1659492
Sunglass Hut at Macy's,"100 Richmond Hill Road, Staten Island",40.5837022,-74.1656635
T.J. Maxx,"2530 Hylan Boulevard, Staten Island",40.569597,-74.10927500000001
Marshalls,"2485 Richmond Avenue, Staten Island",40.5874064,-74.1669661
Lot-Less,"3155 Amboy Road, Staten Island",40.5644268,-74.1339744
HomeGoods,"2718 Hylan Boulevard, Staten Island",40.56513899999999,-74.11303
Marshalls,"2656 Hylan Boulevard, Staten Island",40.5672781,-74.1125576
Kohl's,"8973 Bay Parkway Ste 1, Brooklyn",40.593163,-74.00099999999999
DII Deals & Discounts,"626 Sheepshead Bay Road, Brooklyn",40.57877980000001,-73.9753709
Jackie's Department Store,"132 Brighton Beach Avenue, Brooklyn",40.57625729999999,-73.96702909999999
Target,"8973-95 Bay Parkway, Brooklyn",40.59391929999999,-74.00118479999999
Marshalls,"1623 Avenue Y, Brooklyn",40.5904065,-73.95306830000001
Macy's,"2027 Emmons Avenue, Brooklyn",40.584123,-73.946919
Burlington,"1801 South Avenue, Staten Island",40.6012756,-74.1917814
Target,"621 West Edgar Road, Linden",40.61902969999999,-74.24342659999999
Kohl's,"2239 Forest Avenue, Staten Island",40.62818190000001,-74.1649156
Marshalls,"625 West Edgar Road, Linden",40.6187501,-74.2446763
Burlington,"1701 West Edgar Road Units C D, Linden",40.6125099,-74.2544302
T.J. Maxx,"1701 West Edgar Road, Linden",40.6126546,-74.2544297
DII Deals & Discounts,"DII Stores, 2040 Forest Avenue, Staten Island",40.62478360000001,-74.1567499
Jembro Stores,"1756 Forest Avenue, Staten Island",40.6246599,-74.14727789999999
T.J. Maxx & HomeGoods,"1509 Forest Avenue, Staten Island",40.6263776,-74.1378734
Telco Stores,"1399 Forest Avenue, Staten Island",40.6253738,-74.1358413
Target,"1520 Forest Avenue, Staten Island",40.6239435,-74.1390651
Apple Department Store III,"102 Port Richmond Avenue, Staten Island",40.6387216,-74.1333092
Coast Guard Exchange,"228 Coast Guard Drive, Staten Island",40.6036691,-74.06380430000002
Pride African & Caribbean Str,"197 Broad Street, Staten Island",40.6242072,-74.0814383
De Luca General Store,"1253 Bay Street, Staten Island",40.6128496,-74.065005
Marshalls,"1832 86th Street, Brooklyn",40.6062901,-74.002099
DII Deals & Discounts,"8701 4th Avenue, Brooklyn",40.6216335,-74.028446
DII Deals & Discounts,"6910 5th Avenue, Brooklyn",40.63327659999999,-74.0212568
American Place At 86 Street,"1818 86th Street Unit 3, Brooklyn",40.60676439999999,-74.0021471
Hakam Shop 尚品优选,"848 64th Street, Brooklyn",40.6322757,-74.0107512
T.J. Maxx,"1630 East 15th Street, Brooklyn",40.6092298,-73.9585137
National Wholesale Liquidators,"2201 59th Street, Brooklyn",40.61712709999999,-73.9772152
Telco Stores,"6708 18th Avenue, Brooklyn",40.617711,-73.9919761
Target,"6401 18th Avenue, Brooklyn",40.6192661,-73.9891552
Telco Stores,"109 Avenue U, Brooklyn",40.59646310000001,-73.9801804
LotStop,"2018 Stillwell Avenue, Brooklyn",40.5971966,-73.9855201
PINK TREE INC.,"7018 18th Avenue, Brooklyn",40.61601,-73.99370979999999
NEVER2MUCH MARKET,"1989 Coney Island Avenue, Brooklyn",40.6087442,-73.9619444
Target,"1715 East 13th Street, Brooklyn",40.60766909999999,-73.9595762
Marshalls,"1710 East 14th Street, Brooklyn",40.6077131,-73.9593117
Telco Stores,"1702 Kings Highway, Brooklyn",40.6094357,-73.9562732
5606 Discount Store Corporation,"5606 5th Avenue, Brooklyn",40.6417402,-74.014166
Telco Stores,"2901 Avenue U, Brooklyn",40.600587,-73.942655
Target,"1598 Flatbush Avenue, Brooklyn",40.6315059,-73.9467515
Macy's,"5400 Avenue U, Brooklyn",40.6105232,-73.9191614
HomeGoods,"2201 Nostrand Avenue, Brooklyn",40.6313809,-73.9466496
Telco Stores,"Parking lot, 1910 Ralph Avenue, Brooklyn",40.63080069999999,-73.91915010000001
Burlington,"5202 Kings Plaza, Brooklyn",40.6091041,-73.92033459999999
Primark,"5100 Kings Plaza, Brooklyn",40.6090732,-73.9201487
Target,"5100 Kings Plaza Ste 2201, Brooklyn",40.6098704,-73.9196736
Telco,"1520 Flatbush Avenue, Brooklyn",40.6336912,-73.94883879999999
Feng Sheng Shop,"2107 Nostrand Avenue, Brooklyn",40.6342138,-73.9476569
Family Home Deals,"5801 Flatlands Avenue, Brooklyn",40.63154979999999,-73.92002269999999
Target,"5200 Kings Highway Ste A, Brooklyn",40.63627040000001,-73.92707349999999
Backpacks and Sneaker Corner,"1447 East 84th Street, Brooklyn",40.62843,-73.90002100000001
Costco Wholesale,"605 Rockaway Turnpike, Lawrence",40.6304495,-73.74006589999999
Marshalls,"345 Rockaway Turnpike, Lawrence",40.626172,-73.739892
T.J. Maxx,"25300 Rockaway Boulevard, Rosedale",40.6366322,-73.7381036
Burlington,"345-365 Rockaway Turnpike UNIT #290, Lawrence",40.6265275,-73.7388078
The Suitery,"479 Central Avenue, Cedarhurst",40.620844,-73.72431759999999
Super Deal Stores,"25301 Rockaway Boulevard #9, Rosedale",40.6373391,-73.7386976
Target,"345 Rockaway Turnpike, Lawrence",40.6265313,-73.73828499999999
