Name,Address,Latitude,Longitude
Station TOTAL Access,"Chemin de Briis Cd 59, Villebon-sur-Yvette",48.7043416,2.253893
Franprix,"4 Rue Pasteur, Palaiseau",48.71527819999999,2.2465682
Franprix,"Rue Pierre Curie Centre Commercial des Basses Garennes, Palaiseau",48.717174,2.260977
hubiz,"Gare de Massy-Palaiseau, 87 Avenue Raymond Aron, Massy",48.72655280000001,2.2577716
Franprix,"80 Grande Rue, Longjumeau",48.6958846,2.2944396
bp,"D117 Voie Express, Massy",48.73056390000001,2.2420843
Coccimarket,"29 Rue de la Division Leclerc, Massy",48.7297466,2.273615399999999
Franprix,"16 Rue de Longjumeau, Massy",48.72980969999999,2.2767567
bp,"10 Avenue Pierre Brossolette, Chilly-Mazarin",48.6989528,2.304014
Coccinelle Express,"4 Allee Albert Thomas, Massy",48.7349525,2.26243
Franprix,"10 Avenue nationale, Massy",48.7286213,2.2853281
Franprix,"20-22 Rue Charles de Gaulle, Orsay",48.70283939999999,2.191858299999999
Casino Shop,"4 Bis Rue du Vieux Lavoir, Nozay",48.6598198,2.2414541
Access - TotalEnergies,"De L'Oceanie, Zac Courtaboeuf, 1 Avenue de l'Océanie, Les Ulis",48.6774893,2.1974237
Franprix,"2 Rue du Docteur Ernest Lauriat, Orsay",48.6967773,2.1870947
TotalEnergies,"180 Avenue de Paris, Massy",48.72234719999999,2.261579
Franprix,"27 Rue Léon Bourgeois, Palaiseau",48.7045943,2.2381254
Coccinelle Express Palaiseau,"40 Avenue du 8 Mai 1945 40, Palaiseau",48.7090393,2.2418662
cocciMarket,"1 Avenue du 1er Mai, Palaiseau",48.7138541,2.2583138
Marché d'à Côté,"2 Route de Villebon, Villejust",48.6841223,2.2365052
Superette,"45 Avenue Carnot, Massy",48.7243319,2.2604041
SAI MARKET,"43 Avenue Carnot, Massy",48.72438689999999,2.260667499999999
La Vie Claire,"16 Mail Atlantis, Massy",48.7248695,2.2626705
Monop'daily,"Gare De Massy Tgv, 38 Avenue Carnot, Massy",48.72584999999999,2.261398999999999
La Vie Claire,"8 Place de l'Union Européenne, Massy",48.7267539,2.2581443
Total Petrol Station Access,"40 Route de Palaiseau, Massy",48.7281677,2.2456019
SUPERMARCHÉ G20,"1 Place de Bretten, Longjumeau",48.6970897,2.2926609
Le magasin est ferme définitivement,"2C Rue Léontine Sohier, Longjumeau",48.6948603,2.2946367
Franprix,"4 All. Mabelle Corey, Massy",48.73095740000001,2.2466542
Access - TotalEnergies,"31 Route d'Orléans, Ballainvilliers",48.6772434,2.2820063
Intermarché station-service Chilly-Mazarin,"Route de Longjumeau, Chilly-Mazarin",48.709474,2.297382
Marché d'à Côté,"12 Rue de Versailles, Massy",48.7325738,2.261764799999999
Franprix,"13 Avenue de la Vauve, Palaiseau",48.7136453,2.2014338
Sitis Market - Le Petit Marché De Ballain,"Centre commercial des templiers, Rue du Rouillon, Ballainvilliers",48.67718230000001,2.2935065
Princylia Shop - Alimentation Générale,"2 Rue Pierre Picard, Massy",48.7339862,2.2734104
Sty Alimentation Generale,"57 Rue de Gravigny, Chilly-Mazarin",48.6957195,2.3080623
SUPERMARCHÉ G20,"82 Rue de Gravigny, Chilly-Mazarin",48.6941979,2.309897
Nethraa market,"1 bis Allée Louis Clément Faller, Orsay",48.69741550000001,2.1872362
TotalEnergies,"15-17 Rue Archangé, Orsay",48.6973219,2.1858958
Diagonal,"7 Rue Robert Scherrer, Antony",48.7368771,2.2842601
CocciMarket City,"47 bis Avenue de la Division Leclerc, La ville-du-Bois",48.66020719999999,2.2758135
La Vie Claire,"Rond-Point de Mondetour, Les Ulis",48.6832687,2.1884872
REAL Market,"35 Boulevard Dubreuil, Orsay",48.6975571,2.1833644
Marché d'à coté,"35 Boulevard Dubreuil, Orsay",48.69745359999999,2.1832922
TotalEnergies,"32 Avenue Pierre Brossolette, Chilly-Mazarin",48.70185170000001,2.3202966
Franprix,"24/30 Rue du Général Leclerc, Morangis",48.7073123,2.3290958
TotalEnergies,"35-37 Rue Henri Dunant, Savigny-sur-Orge",48.67997,2.3419566
Superette Savigny-sur-Orge Salengro,"99 Avenue Roger Salengro, Savigny-sur-Orge",48.6814,2.3412139
Access - TotalEnergies,"D257 Ex Liaison Cd 25 A Cd 117, Épinay-sur-Orge",48.6685008,2.338593
Franprix,"159 Avenue de la Division Leclerc, Antony",48.7411938,2.3028244
Distribution Casino France,"13bis Rue Jean Jaurès, Villiers-sur-Orge",48.6568481,2.3004618
Franprix,"38 Rue du Mail, Savigny-sur-Orge",48.6734887,2.3509702
KVS ALIMENTATION,"206 Rue Adolphe Pajeaud, Antony",48.74120509999999,2.2823227
ChillyExo,"16 Avenue Charles de Gaulle, Chilly-Mazarin",48.7051379,2.3234257
Marché d'à Côté,"11 Place des Charmilles, Longjumeau",48.6840519,2.3154947
Coccinelle Express,"14 Place Lucien Boilleau, Morangis",48.7067405,2.3358136
Supérette,"2 Place Beaumarchais, Savigny-sur-Orge",48.6848439,2.3302326
Access - TotalEnergies,"100 Avenue du President Kennedy, Antony",48.7376396,2.2949879
Panier Sympa Supérette de Savigny,"77 Boulevard Aristide Briand, Savigny-sur-Orge",48.6854121,2.3461005
Vival,"6 Boulevard Aristide Briand, Savigny-sur-Orge",48.68114629999999,2.343091799999999
Savigny market,"29 Rue Henri Dunant, Savigny-sur-Orge",48.67958770000001,2.3417483
SARL LNS Exotique,"224 Avenue du Maréchal Leclerc, Massy",48.73680479999999,2.3014433
Intermarché station-service Juvisy-Sur-Orge,"27 Avenue Camille Desmoulins, Juvisy-sur-Orge",48.694593,2.3563558
CocciMarket,"3 Avenue Henri Ouzilleau, Savigny-sur-Orge",48.6734881,2.340398
Mya market,"86 Rue de la Voie Verte, Athis-Mons",48.70059819999999,2.3575438
Sun Exotique,"84 Boulevard Aristide Briand, Savigny-sur-Orge",48.68712360000001,2.3543739
Access - TotalEnergies,"190 Avenue du Maréchal Leclerc, Massy",48.73950469999999,2.3018052
Superette De La Gare,"11 Avenue Charles de Gaulle, Savigny-sur-Orge",48.6767093,2.3499819
Le marché d’à cote by VRT CITY,"29 Avenue des Écoles, Wissous",48.7370031,2.3265874
Le Marché d'à côté,"89 Rue Mirabeau, Antony",48.7423017,2.2975106
NILA - Alimentation Générale et Exotique,"1 Rue de la Procession, Savigny-sur-Orge",48.6728282,2.3503782
Superette Antony,"129 Avenue de la Division Leclerc, Antony",48.7429786,2.3031348
Les Halles De Paray,"88 Avenue de Verdun, Paray-Vieille-Poste",48.7059499,2.3646064
Petit Casino,"13 Bis Rue Jean Jaurès, Villiers-sur-Orge",48.6568618,2.3004412
MONOPRIX,"127 Avenue du Général de Gaulle, Draveil",48.6862851,2.4079793
Coccimarket,"72 Rue des Plantes, Athis-Mons",48.7034883,2.3760114
Relay Gare Juvisy Souterrain,"Place Banette et Planchon, Juvisy-sur-Orge",48.68913750000001,2.3825338
STATION ESSO VIRY RN7,"158 Avenue du Général de Gaulle N7, Viry-Châtillon",48.683979,2.376378
Franprix,"30 Rue Monttessuy, Juvisy-sur-Orge",48.6873648,2.3845494
MONOP'DAILY,"Terminal Orly Jonction, Orly",48.7262397,2.365317
Franprix,"42 Avenue de Provence, Viry-Châtillon",48.668475,2.3608116
LTMA,"Avenue Henri Dunant, Athis-Mons",48.7138302,2.3964974
Total Petrol Station Access,"108 Boulevard du Général de Gaulle, Draveil",48.6864664,2.403159
Intermarche Morsang Sur Orge,"26 Avenue du Commandant Barre, Morsang-sur-Orge",48.6623942,2.3597763
cocciMarket,"24 Rue du Port aux Dames, Draveil",48.6804542,2.4007004
Marché Entrepôt Grigny,"9 Rue des Halles, Grigny",48.670235,2.393732
Intermarche Vigneux,"5 Avenue Henri Barbusse, Vigneux-sur-Seine",48.69756570000001,2.4147264
Le Marché D'à Côté( TYN JUVISY),"56 Avenue de la Cour de France, Juvisy-sur-Orge",48.6970846,2.3720377
Marché Turquoise,"123 Avenue François Mitterrand, Athis-Mons",48.707448,2.3710566
MS Stars Market,"31 Avenue Jules Vallès, Athis-Mons",48.70018839999999,2.3755773
cocciMarket,"12 Avenue d'Estienne d'Orves, Juvisy-sur-Orge",48.6907091,2.3807272
Sep Exotique Alimentation Générale,"3 Rue Pierre Semard, Juvisy-sur-Orge",48.6888429,2.382149999999999
Libre service de la gare,"21 Rue de Draveil, Juvisy-sur-Orge",48.68904490000001,2.384360999999999
CocciMarket,"36 Rue Monttessuy, Juvisy-sur-Orge",48.68843529999999,2.385112
CocciMarket,"1 Rue Sophie et Hans Scholl, Juvisy-sur-Orge",48.691709,2.387391500000001
Juvisydis,"30 Rue Monttessuy, Juvisy-sur-Orge",48.6873648,2.3845494
Shathi Marché,"37 Rue du Mail, Savigny-sur-Orge",48.67290149999999,2.3508512
RELAY Monop’daily,"3 Avenue Ouest, Paray-Vieille-Poste",48.7273109,2.3635426
Carrefour City Orly 1,"Aéroport de Paris-Orly, Aérogare 1 niveau départs – Zone publique, Orly",48.72935390000001,2.3593524
Supérette du Quartier (SARL),"39 Boulevard Husson, Viry-Châtillon",48.67669949999999,2.3801041
Soori supermarché exotique,"7 Rue Henri Barbusse, Viry-Châtillon",48.6733077,2.3763812
LE GOÛT DE TRANSYLVANIE,"26 Boulevard du Général de Gaulle, Draveil",48.6875613,2.3948476
Marché d'à Côté,"73 Avenue du Commandant Barre, Viry-Châtillon",48.6613672,2.3633628
Votre Marché,"18 Place de la République, Draveil",48.685899,2.4096158
Draveil Alimentation,"18 Place de la République, Draveil",48.6858465,2.4096025
Marché d'à Côté,"276 Boulevard Henri Barbusse, Draveil",48.6920039,2.4124484
Franprix,"12 Place du 14 Juillet, Vigneux-sur-Seine",48.7055616,2.4227322
Vival,"124-126, Avenue Henri Barbusse, Vigneux-sur-Seine",48.702076,2.4272735
TotalEnergies,"70 Boulevard Henri Barbusse, Draveil",48.6764631,2.4113016
Franprix,"55 Rue du Général de Gaulle, Villeneuve-le-Roi",48.7350442,2.4215683
Franprix,"2 Rue Henri Janin, Villeneuve-Saint-Georges",48.7293552,2.4478205
Total Petrol Station Access,"17 Route de Corbeil, Grigny",48.656676,2.3841243
SUPERMARCHÉ G20,"6 Place des Quatre Saisons, Vigneux-sur-Seine",48.70010040000001,2.4169552
France Market,"276B Boulevard Henri Barbusse, Draveil",48.69197310000001,2.4124852
Sris Exotique,"3 Place Gabriel Fauré, Vigneux-sur-Seine",48.7085744,2.4161736
KVTP Premier Exotic,"27 Avenue de la Concorde, Vigneux-sur-Seine",48.7053465,2.421217
cocciMarket,"2 Rue Jean Corringer, Vigneux-sur-Seine",48.7061412,2.4235652
Proxi,"6 Rue du Chemin Vert, Vigneux-sur-Seine",48.6920232,2.4313629
Superette du Lac,"52 Bis Rue Jean Corringer, Vigneux-sur-Seine",48.7084036,2.4315449
Marché d'à Côté,"100 Avenue Jean Jaurès, Montgeron",48.7130392,2.4488028
Station Service Eni,"32 Avenue le Foll, Villeneuve-le-Roi",48.72875519999999,2.4318692
Épicerie Rapid market,"13 Rue Jules Ferry 13, Villeneuve-le-Roi",48.7345895,2.4148053
Rapid Market,"6 Place Jeanne d'Arc, Villeneuve-le-Roi",48.732915,2.4244623
Anju Mini Marche,"1 Avenue Charles de Gaulle, Montgeron",48.6964035,2.4554028
Frais,"66 Rue du Général de Gaulle, Villeneuve-le-Roi",48.73535880000001,2.4204819
PROXI SUPER,"1 Route d'Orly, Villeneuve-le-Roi",48.7392889,2.4068282
Marché d'à Côté,"31 Rue de Paris, Villeneuve-Saint-Georges",48.72674,2.445936
coccinelle express,"3 Rue Edmond Bonté, Ris-Orangis",48.6598313,2.4146218
Franprix,"46 Rue de Montgeron, Brunoy",48.6927628,2.492496899999999
STATION BP BRUNOY,"5 Boulevard Charles de Gaulle, Brunoy",48.694588,2.504505
Franprix,"85 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.73561840000001,2.464985
EPICERIE 91,"39 Rue Paul Doumer, Yerres",48.7168991,2.5060475
MONOPRIX,"12-14 Rue Philisbourg, Brunoy",48.6980219,2.506847
Assab Elhassan,"164 Avenue de la République, Montgeron",48.7000275,2.4675369
Marché d'à Côté,"30 Avenue Jean Jaurès, Crosne",48.71430910000001,2.4618818
Yathu mini marché,"65 Avenue Jean Jaurès, Crosne",48.7183098,2.4562472
Franprix,"8 Avenue du Président Salvador Allende, Crosne",48.7219261,2.4699263
Marché d'à Côté,"45 Rue Gabriel Péri, Yerres",48.708926,2.4887747
GRIFFON,"44 Rue de Montgeron, Brunoy",48.69276600000001,2.4922267
Franprix,"50 Rue Charles de Gaulle, Yerres",48.7165164,2.4892167
Kadi Exotique,"45 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.7320497,2.459651
Entremise market,"27 Rue Émile Zola, Villeneuve-Saint-Georges",48.73552220000001,2.4497052
O Panier Frais,"1 Rue Francis Martin, Villeneuve-Saint-Georges",48.735705,2.4517263
Marché d'à Côté,"85 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.735654,2.4648347
COCCIMARKET,"127 Rue Gambetta, Villeneuve-Saint-Georges",48.7370589,2.4617595
Mail Supermarche,"Avenue du Président Wilson, Villeneuve-Saint-Georges",48.739657,2.4469867
Marché d'à Côté,"39 Rue Paul Doumer, Yerres",48.716893,2.506053
La Supérette de la Gare,"5 Rue de la Gare, Villeneuve-le-Roi",48.73961209999999,2.4255846
Y Y S SUPERMARCHE,"35b Avenue Anatole France, Villeneuve-Saint-Georges",48.74103969999999,2.4521966
Intermarche Villecresnes,"Rue du Salle, Villecresnes",48.709177,2.526986
Franprix,"1 Avenue Victor Hugo, Épinay-sous-Sénart",48.697657,2.524900999999999
Franprix,"6 Rue de la Ferme, Boussy-Saint-Antoine",48.69043519999999,2.5294455
Alm Alimentation,"31 Rue du Général Leclerc, Mandres-les-Roses",48.7012934,2.5424869
Mandres services,"13 Rue du Général Leclerc, Mandres-les-Roses",48.7019556,2.5434747
SUPERMARCHÉ G20,"12 Rue Georges Clemenceau, Limeil-Brévannes",48.7421799,2.4774939
MONOPRIX,"153 Rue Houdan, Sceaux",48.7787894,2.2811332
MONOPRIX,"16 Rue Auguste Mounié, Antony",48.753837,2.303629599999999
bp,"157 Avenue de la Division Leclerc, Châtenay-Malabry",48.7628838,2.2780053
Shell,"N118, Rue du Val de Grâce, Vélizy-Villacoublay",48.7709862,2.2275379
Franprix,"61 Avenue Jean Monnet, Antony",48.7463415,2.2970793
bp,"N118, Bièvres",48.7481135,2.1973768
TotalEnergies,"320 Avenue du Général de Gaulle, Clamart",48.7848154,2.2493221
STATION Esso MEUDON TASSIGNY,"38 Avenue du Maréchal de Lattre de Tassigny, Meudon",48.7848571,2.226387899999999
SUPERMARCHÉ G20,"171 Avenue Jean Baptiste Clément, Clamart",48.79056400000001,2.2630263
Brasa St Antonio,"77 Avenue du Général de Gaulle, Clamart",48.7916406,2.267128500000001
Ayour,"2 Rue de Paron, Verrières-le-Buisson",48.7471317,2.2656624
STAR marche exotique,"325 Avenue de la Division Leclerc, Châtenay-Malabry",48.7659311,2.25576
Votre Marché,"6 Rue Gabriel Péri, Igny",48.7431264,2.2259067
La Vie Claire,"100 Avenue de la Division Leclerc, Châtenay-Malabry",48.76269879999999,2.2825221
Franprix,"4-6 Cour du Sud, Clamart",48.78046019999999,2.240991799999999
La Vie Claire,"Quartier Grand-Canal, 9 Le Clos du Breuil, Clamart",48.7807522,2.2409301
