Arrondissement,Population,Area,Density
Arrondissement 1,16.149,1.83,8.824590163934426
Arrondissement 2,21.277,0.99,21.491919191919195
Arrondissement 3,33.651,1.17,28.761538461538468
Arrondissement 4,29.326,1.6,18.32875
Arrondissement 5,58.05,2.541,22.845336481700116
Arrondissement 6,40.452,2.15,18.814883720930233
Arrondissement 7,49.3,4.09,12.053789731051344
Arrondissement 8,36.218,3.88,9.334536082474228
Arrondissement 9,60.784,1.18,51.511864406779665
Arrondissement 10,83.8732,2.89,29.021868512110725
Arrondissement 11,145.124,3.67,39.543324250681195
Arrondissement 12,141.275,6.38,22.143416927899686
Arrondissement 13,179.013,7.15,25.036783216783217
Arrondissement 14,134.926,5.64,23.92304964539007
Arrondissement 15,231.186,8.48,27.2625
Arrondissement 16,165.118,7.91,20.874589127686473
Arrondissement 17,167.765,5.67,29.588183421516753
Arrondissement 18,191.911,6.01,31.931946755407655
Arrondissement 19,184.156,6.79,27.121649484536082
Arrondissement 20,193.044,5.98,32.28160535117057
