Name,Address,Latitude,Longitude,Income,Density,Trafic
FNAC Villebon,"2 Avenue de la Plesse Centre Commercial, Villebon-sur-Yvette",48.7031708,2.2515555,21.82,27.2625,25.0805
XINJINMA BAZAR,"34 Rue de Paris, Palaiseau",48.7173645,2.2475758,21.82,27.2625,25.0805
ELECTRO DEPOT PARIS - SAULX LES CHARTREUX,"2 Avenue Salvador Allende, Saulx-les-Chartreux",48.6951079,2.2832314,19.59,23.92304964539007,21.96404964539007
"VAPOT'STYLE (Cigarettes électroniques, E-Liquides, PUFF, CBD)","3 Rue Louis Mézard, Savigny-sur-Orge",48.6762115,2.3530603,17.09,25.036783216783217,23.327783216783217
MONOPRIX,"127 Avenue du Général de Gaulle, Draveil",48.6862851,2.4079793,17.09,25.036783216783217,23.327783216783217
MONOP'DAILY,"Terminal Orly Jonction, Orly",48.7262397,2.365317,17.09,25.036783216783217,23.327783216783217
FNAC,"1 Rue des Transporteurs, Orly",48.7285263,2.3590686,17.09,25.036783216783217,23.327783216783217
FNAC Aéroport Orly 4,"Aéroport d'Orly Aérogare Sud International Hall A, Avenue Ouest, Orly",48.728247,2.370496,17.09,25.036783216783217,23.327783216783217
CocciMarket,"62 Avenue de la Cour de France, Juvisy-sur-Orge",48.6978591,2.3721005,17.09,25.036783216783217,23.327783216783217
FNAC Aéroport Orly corners,"Paris Orly Airport, Aérogare 2, Orly",48.72690859999999,2.3586027,17.09,25.036783216783217,23.327783216783217
FNAC Aéroport Orly 3,"Paris Orly Airport, 3 Avenue Ouest, Paray-Vieille-Poste",48.7274267,2.3635026,17.09,25.036783216783217,23.327783216783217
FNAC Orly 4,"Paris Orly Airport, Orly",48.73014630000001,2.3620519,17.09,25.036783216783217,23.327783216783217
Fuu Store Draveil - Vape & Bien-Être,"113 Boulevard Henri Barbusse, Draveil",48.6863628,2.4086625,17.09,25.036783216783217,23.327783216783217
ELECTRO DEPOT PARIS - MONTGERON,"ZAC Maurice Garin, Montgeron",48.718571,2.4416434,19.02,22.14341692789969,20.24141692789969
Sarl Gabstour,"17 Rue du Maréchal Foch, Villeneuve-le-Roi",48.730891,2.4094323,19.02,22.14341692789969,20.24141692789969
MONOPRIX,"12-14 Rue Philisbourg, Brunoy",48.6980219,2.506847,19.02,22.14341692789969,20.24141692789969
MONOPRIX,"153 Rue Houdan, Sceaux",48.7787894,2.2811332,21.82,27.2625,25.0805
MONOPRIX,"16 Rue Auguste Mounié, Antony",48.753837,2.303629599999999,19.59,23.92304964539007,21.96404964539007
Fnac,"2, avenue de l'Europe Centre commercial Vélizy 2, Vélizy-Villacoublay",48.7810118,2.220338200000001,31.49,20.87458912768648,17.725589127686476
La Chaise Longue,"2 Avenue de l'Europe, Vélizy-Villacoublay",48.7804364,2.2205282,31.49,20.87458912768648,17.725589127686476
