Arrondissement,Latitude,Longitude,Density,Income,Trafic
Arrondissement 1,48.8640396,2.3311563,8.824590163934426,24.03,6.421590163934425
Arrondissement 2,48.8675565,2.3438919,21.491919191919195,21.93,19.298919191919197
Arrondissement 3,48.8634991,2.3590784,28.761538461538468,22.86,26.475538461538463
Arrondissement 4,48.8565921,2.3522133,18.32875,23.03,16.02575
Arrondissement 5,48.840813,2.3519279,22.84533648170012,23.89,20.45633648170012
Arrondissement 6,48.8481072,2.3279439,18.814883720930236,30.06,15.808883720930236
Arrondissement 7,48.8538225,2.3123883,12.053789731051344,33.96,8.657789731051345
Arrondissement 8,48.8689621,2.3101408,9.334536082474228,30.89,6.245536082474228
Arrondissement 9,48.8789787,2.337829,51.51186440677967,23.64,49.14786440677968
Arrondissement 10,48.8785238,2.3541085,29.021868512110725,18.22,27.19986851211073
Arrondissement 11,48.8579444,2.3803946,39.5433242506812,18.64,37.679324250681205
Arrondissement 12,48.8367061,2.4034918,22.14341692789969,19.02,20.24141692789969
Arrondissement 13,48.8261675,2.3598969,25.036783216783217,17.09,23.327783216783217
Arrondissement 14,48.8313922,2.3254388,23.92304964539007,19.59,21.96404964539007
Arrondissement 15,48.8426159,2.2924372,27.2625,21.82,25.0805
Arrondissement 16,48.85816,2.2748917,20.874589127686477,31.49,17.725589127686476
Arrondissement 17,48.8848008,2.2979165,29.588183421516757,23.73,27.215183421516755
Arrondissement 18,48.8915575,2.3496507,31.93194675540765,16.9,30.24194675540765
Arrondissement 19,48.8822252,2.3819534,27.12164948453608,15.2,25.60164948453608
Arrondissement 20,48.8647988,2.398667,32.28160535117057,15.92,30.68960535117057
