Name,Address,Latitude,Longitude
Chronodrive,"Grande, Route de Chasse, Ballainvilliers",48.6685109,2.2841057
E.Leclerc MASSY,"107 Route de Palaiseau, Massy",48.72939400000001,2.2442135
ALDI,"1 Rue du Président François Mitterrand, Longjumeau",48.7013456,2.2970436
Carrefour Market Square France,"2 Rue des Canadiens, Massy",48.732159,2.287344999999999
G20 Supermarket,"42 Rue de Paris 91120, Palaiseau",48.71688169999999,2.247313
Carrefour City,"4 Rue du Docteur Morère, Palaiseau",48.7114896,2.2440594
Franprix,"4 Rue Pasteur, Palaiseau",48.71527819999999,2.2465682
Coccinelle,"97 Rue Maurice Berteaux, Palaiseau",48.717009,2.2401348
Franprix,"Rue Pierre Curie Centre Commercial des Basses Garennes, Palaiseau",48.717174,2.260977
Carrefour City,"Route de Saclay, Palaiseau",48.7171616,2.2336656
Costco Villebon-sur-Yvette,"3 Avenue de Bréhat, Villebon-sur-Yvette",48.6868684,2.2224326
Carrefour Accueil Fournisseurs,"1 Rue Alexandra David-Neel, Massy",48.72087500000001,2.2666233
Lidl,"Chemin Départ, Longjumeau",48.6952849,2.2870376
E.Leclerc DRIVE Massy Palaiseau,"Palaiseau FR, 65 Avenue des Alliés, Massy",48.72584889999999,2.245945799999999
Auchan,"23-25 Place de l'Union Européenne, Massy",48.7268,2.25723
Auchan Drive Cité De L'Innovation,"Centre de Villarceaux, Route de Villejust, Nozay",48.67155400000001,2.237423
Franprix,"80 Grande Rue, Longjumeau",48.6958846,2.2944396
Lidl,"14 Rue du Pileu, Massy",48.7301823,2.2398642
Carrefour Massy,"Avenue de l'Europe, Massy",48.72557249999999,2.2785025
bp,"1-3 Route de Longjumeau, Chilly-Mazarin",48.7129271,2.2983994
Carrefour,"Rue De La, 5 Chemin de la Croix Saint-Jacques, La ville-du-Bois",48.66909959999999,2.2735906
Franprix,"16 Rue de Longjumeau, Massy",48.72980969999999,2.2767567
Coccinelle Express,"4 Allee Albert Thomas, Massy",48.7349525,2.26243
Franprix,"10 Avenue nationale, Massy",48.7286213,2.2853281
Franprix,"20-22 Rue Charles de Gaulle, Orsay",48.70283939999999,2.191858299999999
Franprix,"2 Rue du Docteur Ernest Lauriat, Orsay",48.6967773,2.1870947
Intermarché EXPRESS Villebon-Sur-Yvette,"35 Avenue du Général de Gaulle, Villebon-sur-Yvette",48.7003433,2.2144615
Picard,"16 route de Palaiseau cd117 face au Leclerc, 16 Route de Palaiseau, Massy",48.72878850000001,2.245879
Grand Frais Orsay,"Lieu-dit La Cyprenne, 69 Rue de Montlhéry, Orsay",48.6857858,2.1880502
Intermarché SUPER Chilly-Mazarin,"38 Route de Longjumeau, Chilly-Mazarin",48.70984199999999,2.29759
Picard,"Rond-Point de Mondetour, Les Ulis",48.68338379999999,2.1885813
Grand Frais Saulx-les-Chartreux,"Zone Commerciale La Ville du Bois, Saulx-les-Chartreux",48.671518,2.277829000000001
Chronodrive,"4 Rue du Perou, Massy",48.71906600000001,2.3005697
Picard,"3 Rue du Chemin de Fer, Chilly-Mazarin",48.7006144,2.307418
Lidl,"Avenue de la Plesse, Villebon-sur-Yvette",48.70289,2.25277
Auchan,"Cc Villebon, 2 Chemin de Briis, Villebon-sur-Yvette",48.70367900000001,2.253785
Picard,"centre commercial Auchan, Chemin de Briis, Villebon-sur-Yvette",48.70478629999999,2.2527766
Auchan Hypermarché Villebon-Sur-Yvette,"2 Chemin de Briis, Villebon-sur-Yvette",48.70692999999999,2.253835999999999
Franprix,"27 Rue Léon Bourgeois, Palaiseau",48.7045943,2.2381254
cocciMarket,"1 Avenue du 1er Mai, Palaiseau",48.7138541,2.2583138
Marché d'à Côté,"2 Route de Villebon, Villejust",48.6841223,2.2365052
Franprix,"2 Route de Villebon, Villejust",48.6841198,2.2364972
Altar Distribution,"97 Rue Maurice Berteaux, Palaiseau",48.7170566,2.2401255
Carrefour City,"8 Rue Henri Barbusse, Palaiseau",48.719523,2.262049699999999
Carrefour Market,"1 Rue du Pont Neuf, Saulx-les-Chartreux",48.6940658,2.2819585
Carrefour Drive Saulx-Les-Chartreux,"1 Rue du Pont Neuf, Saulx-les-Chartreux",48.69381769999999,2.2823482
Market Saulx-Les-Chartreux,"1 Rue du Pont Neuf, Saulx-les-Chartreux",48.6937947,2.2823387
Carrefour Drive Mobile Massy,"20 Rue Ampère, Massy",48.7200131,2.265365000000001
Carrefour Drive Piéton,"place Du Grand Ouest, Massy",48.7233345,2.263027399999999
Carrefour Market Massy Atlantis,"Place du Grand Ouest, Massy",48.723672,2.262835
Csf,"25 Avenue Carnot, Massy",48.7243637,2.2611851
Carrefour Drive Mobile Ip Paris Est,"Parking Ip Paris, Palaiseau",48.7109225,2.2150151
Commerces Place du Grand Ouest,"Place du Grand Ouest, Massy",48.724097,2.262768
Carrefour Management,"93 Avenue de Paris, Massy",48.7234663,2.2653876
Carrefour Import,"93 Avenue de Paris, Massy",48.7234095,2.2656015
Rapidmarket,"4 Rue Alfred de Musset, Palaiseau",48.7058274,2.2105385
SUPERMARCHÉ G20,"1 Place de Bretten, Longjumeau",48.6970897,2.2926609
Picnic Champlan,"8 Rue du Chemin Blanc, Champlan",48.70602230000001,2.2924383
SCAL Cash & Carry Courtaboeuf,"20 bis Avenue de la Baltique, Villebon-sur-Yvette",48.6892506,2.209553499999999
Xpisti,"1 Place des Causeuses, Palaiseau",48.7142971,2.211291699999999
ALDI,"1 Place Régis Ryckebush, Savigny-sur-Orge",48.69223789999999,2.3376672
Carrefour Market,"Rue de la Passerelle, Chilly-Mazarin",48.70044069999999,2.3196075
Franprix,"24/30 Rue du Général Leclerc, Morangis",48.7073123,2.3290958
Carrefour market - Morangis,"Z.I. Sables, Avenue Blaise Pascal, Morangis",48.696961,2.33378
Carrefour Contact,"142 Grande Rue, Épinay-sur-Orge",48.67906560000001,2.3187171
E.Leclerc DRIVE Morangis,"69/71 Avenue Charles de Gaulle, Morangis",48.7060704,2.3436062
Supermarché G20,"6 Rue d'Alger, Massy",48.73475990000001,2.294649300000001
Picard,"angle, 50-52 avenue Aristide Briand, Rue Molière, Savigny-sur-Orge",48.6858489,2.3487338
Marché Entrepôt Savigny,"4 Avenue Gabriel Péri, Savigny-sur-Orge",48.6883314,2.3572551
Picard,"centre commercial Carrefour, Chemin des Tourelles, Épinay-sur-Orge",48.6677748,2.3363184
Franprix,"159 Avenue de la Division Leclerc, Antony",48.7411938,2.3028244
Auchan Supermarché Antony - Pascal,"134 Rue Pascal, Antony",48.74049900000001,2.314116
Carrefour Contact,"1 Chemin de la Vallée, Wissous",48.73733429999999,2.3278516
Lidl,"Saint-Guy, Avenue du Bel air, Massy",48.7298327,2.3019233
Franprix,"38 Rue du Mail, Savigny-sur-Orge",48.6734887,2.3509702
Marché Entrepôt Paray 2,"88 Avenue de Verdun, Paray-Vieille-Poste",48.7058799,2.3645057
Intermarché SUPER Juvisy-Sur-Orge,"27 Avenue Camille Desmoulins, Juvisy-sur-Orge",48.6943775,2.3577856
Lidl,"79 Avenue Charles de Gaulle, Morangis",48.7061473,2.3456409
O Cantinho Portugues,"204 Avenue de la Division Leclerc, Massy",48.7381927,2.301708000000001
Carrefour Market Morangis,"Avenue Blaise Pascal, Morangis",48.697163,2.334173
