name,category,address,open_website,phone_number,description,open_hours,open_hours_updated,reviews_count,rating,main_image,reviews,url,lat,lon,place_id,country,price_range,services_provided,hotel_amenities,hotel_star_ratings,category_search_input
"Etro","Clothing store","720███dis███Ave█████████k, █████████","http://www.etro.com/","+12███179███","","{""Friday"":""10 AM–6 PM"",""Monday"":""10 AM–6 PM"",""Saturday"":""10 AM–6 PM"",""Sunday"":""12–5 PM"",""Thursday"":""10 AM–6 PM"",""Tuesday"":""10 AM–6 PM"",""Wednesday"":""10 AM–6 PM""}","Closed ⋅ Opens 10 AM Tue",27,4.8,"https://lh5.googleusercontent.com/p/AF1QipOhmJ_DdxZ1RdDLAp1NpbMWZZq7_A1ctTlD7WVe=w408-h544-k-no","https://search.google.com/local/reviews?placeid=ChIJLVU8Qe5YwokRBdc-LQ0IJD0&q=Clothing+Store,+IROParis1013MadisonAveNew+York+NY+10075,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Etro/data=!4m7!3m6!1s0x89c258ee413c552d:0x3d24080d2d3ed705!8m2!3d40.7665217!4d-73.9695348!16s%2Fg%2F1tgfxjtd!19sChIJLVU8Qe5YwokRBdc-LQ0IJD0?authuser=0&hl=en&rclk=1",40.7665217,-73.9695348,"ChIJLVU8Qe5YwokRBdc-LQ0IJD0","US","$$$$","[""Wheelchair accessible entrance"",""No wheelchair accessible parking lot""]","null","","Clothingstore"
"Pan███a J███lry███","Jewelry store","110███42n███t, █████████ NY█████████","https://stores.pandora.net/en-us/ny/newyork/pandora-jewelry-us15ee52c8.html?utm_source=google&utm_medium=listing&utm_content=us15ee52c8&utm_campaign=NY&utm_keyword=New%20York","+13███552███","Source for jewelry & charms. Jewelry chain featuring a variety of necklaces, rings, customizable charm bracelets & more.","{""Friday"":""10 AM–9 PM"",""Monday"":""10 AM–9 PM"",""Saturday"":""10 AM–9 PM"",""Sunday"":""11 AM–8 PM"",""Thursday"":""10 AM–9 PM"",""Tuesday"":""10 AM–9 PM"",""Wednesday"":""10 AM–9 PM""}","Closed ⋅ Opens 10 AM",1007,4.2,"https://lh5.googleusercontent.com/p/AF1QipPlWT4-qeWe5KCt9mrIyXWpvNX53LeNcMUpdyB6=w408-h455-k-no","https://search.google.com/local/reviews?placeid=ChIJ0cf5yapZwokR2IADUHDjypI&q=Jewelry+Store,+Pandora+Jewelry+511EShawAveFresnoCA93710,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Pandora%20Jewelry/data=!4m7!3m6!1s0x89c259aac9f9c7d1:0x92cae370500380d8!8m2!3d40.7547425!4d-73.9847797!16s%2Fg%2F11bzvy_7gp!19sChIJ0cf5yapZwokR2IADUHDjypI?authuser=0&hl=en&rclk=1",40.7547425,-73.9847797,"ChIJ0cf5yapZwokR2IADUHDjypI","US","","[""Onsite services""]","null","","Jewelrystore"
"Pop███","Clothing store","133███adi███ Av█████████rk,████████████","","","","null","",0,0,"https://lh5.googleusercontent.com/p/AF1QipPQcoFproMnywwnAs6tCkr2_h8qrTDyAR6SlFey=w408-h306-k-no","","https://www.google.com/maps/place/Pop-up/@40.7856652,-73.9550537,17z/data=!3m1!4b1!4m6!3m5!1s0x89c258a1600299ed:0x27b9663e8567cda!8m2!3d40.7856652!4d-73.9550537!16s%2Fg%2F11s943stwq?hl=en&entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",40.7856652,-73.9550537,"ChIJ7ZkCYKFYwokR2nxW6GOWewI","US","","[""No wheelchair accessible parking lot""]","null","","Clothingstore"
"Use███ook███ble███","Used book store","Uni███Squ███ We█████████4th██████████████████","","","","null","",1,5,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SR_HAJTcpKaujC605ukQlw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.6409&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJO-8ofABZwokR24mOTRtdy5Q&q=Bookstore,+TablesInc49W39thStFlr2+New+York+NY+10018,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Used%20Book%20Table/data=!4m7!3m6!1s0x89c259007c28ef3b:0x94cb5d1b4d8e89db!8m2!3d40.7351994!4d-73.9917243!16s%2Fg%2F11vprscgg3!19sChIJO-8ofABZwokR24mOTRtdy5Q?authuser=0&hl=en&rclk=1",40.7351994,-73.9917243,"ChIJO-8ofABZwokR24mOTRtdy5Q","US","","[""Quick visit""]","null","","Bookstore"
"Lov███dor███","Jewelry store","269███iza███h S█████████rk,████████████","http://www.loveadorned.com/","+12███315███","Store with jewelry & home decor items. Breezy space stocked with an eclectic mix of new & vintage jewelry plus unusual items for the home.","{""Friday"":""12–7 PM"",""Monday"":""12–7 PM"",""Saturday"":""12–7 PM"",""Sunday"":""12–7 PM"",""Thursday"":""12–7 PM"",""Tuesday"":""12–7 PM"",""Wednesday"":""12–7 PM""}","Closed ⋅ Opens 12 PM",97,4.5,"https://lh5.googleusercontent.com/p/AF1QipM_LKHDdM7dJhUBHtz-rstfBAo_YGRg3MFcxLqy=w408-h544-k-no","https://search.google.com/local/reviews?placeid=ChIJh3yAmYVZwokRph9oYlDfBqo&q=Jewelry+Store,+LoveAdorned269ElizabethStNewYork+NY+10012,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Love+Adorned/@40.72408,-73.9938198,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2598599807c87:0xaa06df5062681fa6!8m2!3d40.72408!4d-73.9938198!16s%2Fg%2F1tj3415l?hl=en&entry=ttu&g_ep=EgoyMDI0MTIwMS4xIKXMDSoASAFQAw%3D%3D",40.72408,-73.9938198,"ChIJh3yAmYVZwokRph9oYlDfBqo","US","$$$","[""Identifies as women-owned"",""Small business""]","null","","Jewelrystore"
"adv███","Book store","55 ███er ███ Ne█████████Y 1██████","","","","null","",0,0,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rAmpG9tnjdOPOkKQDuWqiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.34327&pitch=0&thumbfov=100","","https://www.google.com/maps/place/advait/@40.7026868,-74.0093713,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25b11c7221827:0xe716570ff8b55fdd!8m2!3d40.7026868!4d-74.0093713!16s%2Fg%2F11t483bvyy?hl=en&entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",40.7026868,-74.0093713,"ChIJJxgixxFbwokR3V-1-A9XFuc","US","","[""Quick visit""]","null","","Bookstore"
"A.P███ NY███urp██████","Clothing store","405███oom███t, █████████ NY█████████","https://www.apc-us.com/","+12███660███","","{""Friday"":""11 AM–7 PM"",""Monday"":""11 AM–7 PM"",""Saturday"":""11 AM–7 PM"",""Sunday"":""12–6 PM"",""Thursday"":""11 AM–7 PM"",""Tuesday"":""11 AM–7 PM"",""Wednesday"":""11 AM–7 PM""}","Closed ⋅ Opens 11 AM Tue",10,4.5,"https://lh5.googleusercontent.com/p/AF1QipO00NP-K2mOtNaM11ZRcYY1NPiGY7E3INjWNNRq=w408-h306-k-no","https://search.google.com/local/reviews?placeid=ChIJ0x-k1atZwokRT2yc76s6ayQ&q=Clothing+Store,+A.P.C.267West4thStreet+New+York+NY+10014,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/A.P.C.%20NYC%20Surplus/data=!4m7!3m6!1s0x89c259abd5a41fd3:0x246b3aabef9c6c4f!8m2!3d40.7208415!4d-73.9979644!16s%2Fg%2F11sjll03ks!19sChIJ0x-k1atZwokRT2yc76s6ayQ?authuser=0&hl=en&rclk=1",40.7208415,-73.9979644,"ChIJ0x-k1atZwokRT2yc76s6ayQ","US","","[""Wheelchair accessible entrance"",""No wheelchair accessible parking lot""]","null","","Clothingstore"
"Eri███ Je███ry","Jewelry store","136███exi███on █████████Yor████████████","","+12███697███","","{""Friday"":""9 AM–7 PM"",""Monday"":""9 AM–7 PM"",""Saturday"":""10 AM–5:30 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–7 PM"",""Tuesday"":""9 AM–7 PM"",""Wednesday"":""9 AM–7 PM""}","Closed ⋅ Opens 9 AM",8,3.4,"https://lh5.googleusercontent.com/p/AF1QipMMR5AptWmY90r-nShL0QiTX4Dc51R5yn-hakfT=w408-h305-k-no","https://search.google.com/local/reviews?placeid=ChIJHbzuYqNYwokRehWCXoD4fmw&q=Jewelry+Store,+eklexic+350E82ndStNew+York+NY+10028,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Eric's%20Jewelry/data=!4m7!3m6!1s0x89c258a362eebc1d:0x6c7ef8805e82157a!8m2!3d40.7821870!4d-73.9537942!16s%2Fg%2F11b5ystq0j!19sChIJHbzuYqNYwokRehWCXoD4fmw?authuser=0&hl=en&rclk=1",40.782187,-73.9537942,"ChIJHbzuYqNYwokRehWCXoD4fmw","US","","[""Small business""]","null","","Jewelrystore"
"Kin███niy███ew ██████","Book store","107███th ███, N█████████NY ██████","https://usa.kinokuniya.com/","+12███691███","Japanese bookstore with large selection. Japanese-based retailer known for its collection of Asian books & magazines.","{""Friday"":""10 AM–8 PM"",""Monday"":""10 AM–8 PM"",""Saturday"":""10 AM–8 PM"",""Sunday"":""11 AM–7:30 PM"",""Thursday"":""10 AM–8 PM"",""Tuesday"":""10 AM–8 PM"",""Wednesday"":""10 AM–8 PM""}","Closed ⋅ Opens 10 AM",8401,4.7,"https://lh5.googleusercontent.com/p/AF1QipPFKsP6e6lYA8BL-i7l0aJZQk2F580jxTyRiOp0=w408-h544-k-no","https://search.google.com/local/reviews?placeid=ChIJn0BhwP5YwokRTZw5De7Ti20&q=Bookstore,+KinokuniyaBeaverton10500SWBeavertonHillsdaleHwyBeavertonOR97005,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Kinokuniya%20New%20York/data=!4m7!3m6!1s0x89c258fec061409f:0x6d8bd3ee0d399c4d!8m2!3d40.7541070!4d-73.9849938!16s%2Fg%2F1tf03d67!19sChIJn0BhwP5YwokRTZw5De7Ti20?authuser=0&hl=en&rclk=1",40.754107,-73.9849938,"ChIJn0BhwP5YwokRTZw5De7Ti20","US","","[""In-store pickup"",""In-store shopping"",""Onsite services"",""No same-day delivery""]","null","","Bookstore"
"Pap███Hou███","Party store","bet███85 ███ter█████████73 █████████████████████rk,████████████","","+12███248███","Paper, party products & decorations. Functional space stocking a wide selection of party & paper goods, seasonal decorations & costumes.","{""Friday"":""9:30 AM–6:30 PM"",""Monday"":""9:30 AM–6:30 PM"",""Saturday"":""9:30 AM–6:30 PM"",""Sunday"":""9:30 AM–5 PM"",""Thursday"":""9:30 AM–6:30 PM"",""Tuesday"":""9:30 AM–6:30 PM"",""Wednesday"":""9:30 AM–6:30 PM""}","Closed ⋅ Opens 9:30 AM",47,4.1,"https://lh5.googleusercontent.com/p/AF1QipP6hz72BpxHL5jGjWqZQWjlcpwPeeITGvwq8cYQ=w408-h544-k-no","https://search.google.com/local/reviews?placeid=ChIJZ9Q8JYpYwokRXfwOMimEi5c&q=Stationery+Store,+DuaneReade380AmsterdamAveNew+York+NY+10024,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Paper%20House/data=!4m7!3m6!1s0x89c2588a253cd467:0x978b8429320efc5d!8m2!3d40.7794998!4d-73.9807556!16s%2Fg%2F1tmy5zd_!19sChIJZ9Q8JYpYwokRXfwOMimEi5c?authuser=0&hl=en&rclk=1",40.7794998,-73.9807556,"ChIJZ9Q8JYpYwokRXfwOMimEi5c","US","","[""Small business""]","null","","Stationerystore"
