Name,Address,Latitude,Longitude,Rating,User Ratings Total,Income,Density
Olive Tree Marketplace,"1490 Clove Road, Staten Island",40.6122154,-74.0995203,4.1,451,"$72,727 ",1900.704347826087
CTown Supermarkets,"2071 Clove Road, Staten Island",40.6049962,-74.0830544,4.1,468,"$81,111 ",2295.704347826087
bp,"2111 Hylan Boulevard, Staten Island",40.5790621,-74.1015168,4.0,54,"$81,111 ",2295.704347826087
Met Food Victory Blvd,"1795 Victory Boulevard, Staten Island",40.6134364,-74.12345890000002,4.3,609,"$72,727 ",1900.704347826087
Western Beef Supermarket,"425 Bay Street, Staten Island",40.6316885,-74.07581979999999,3.5,780,"$72,727 ",1900.704347826087
Taster's Market,"330 Bradley Avenue, Staten Island",40.6031875,-74.1318332,4.5,357,"$72,727 ",1900.704347826087
bp,"175 Targee Street, Staten Island",40.6231289,-74.0836088,3.8,74,"$72,727 ",1900.704347826087
bp,"248 Bay Street, Staten Island",40.6360738,-74.07622289999999,3.9,20,"$72,727 ",1900.704347826087
Key Food Supermarkets,"155 Bay Street, Staten Island",40.6379751,-74.0757593,4.0,936,"$72,727 ",1900.704347826087
Met Food Hylan Blvd,"1177 Hylan Boulevard, Staten Island",40.598783,-74.0822941,4.2,713,"$81,111 ",2295.704347826087
Family Fruit Hylan – Staten Island Catering and Supermarket,"2270 Hylan Boulevard, Staten Island",40.57528689999999,-74.10455320000001,4.1,813,"$81,111 ",2295.704347826087
Key Food Supermarkets,"300 Sand Lane, Staten Island",40.5921917,-74.0683365,4.1,602,"$81,111 ",2295.704347826087
bp,"1416 Hylan Boulevard, Staten Island",40.5938642,-74.0864526,3.8,101,"$81,111 ",2295.704347826087
bp,"1098 Richmond Road, Staten Island",40.5999623,-74.0918408,3.8,35,"$81,111 ",2295.704347826087
FINE FARE,"1689 Richmond Road, Staten Island",40.588852,-74.10240999999999,4.0,8,"$81,111 ",2295.704347826087
Aljazeera Halal Meat Market,"1101 Hylan Boulevard, Staten Island",40.5988072,-74.0792535,4.8,48,"$81,111 ",2295.704347826087
SuperFresh Staten Island,"778 Manor Road, Staten Island",40.6082458,-74.1216354,4.2,201,"$72,727 ",1900.704347826087
Stop 1 Supermarket,"515-517 Targee Street, Staten Island",40.6146882,-74.08453879999999,4.3,83,"$72,727 ",1900.704347826087
Gourmet Island,"2107 Richmond Road, Staten Island",40.58177269999999,-74.1120212,4.5,242,"$81,111 ",2295.704347826087
Istanbul Grand Bazaar,"2189 Hylan Boulevard, Staten Island",40.577167,-74.103416,4.5,113,"$81,111 ",2295.704347826087
Market Fresh Supermarket,"570 Tompkins Avenue, Staten Island",40.61195639999999,-74.07148269999999,4.4,582,"$81,111 ",2295.704347826087
AV FOOD MARKET,"530 Midland Avenue, Staten Island",40.57300489999999,-74.094638,,0,"$81,111 ",2295.704347826087
bp,"2071 Victory Boulevard, Staten Island",40.6127219,-74.1325567,3.0,31,"$72,727 ",1900.704347826087
Associated Marketplace of Broad St,"170 Broad Street, Staten Island",40.6240232,-74.0804172,4.2,171,"$72,727 ",1900.704347826087
Food Dynasty Supermarkets,"1071 Bay Street, Staten Island",40.61746,-74.06784019999999,4.2,15,"$81,111 ",2295.704347826087
Island Kosher,"2200-2210 Victory Boulevard, Staten Island",40.6120301,-74.13680370000002,4.7,241,"$72,727 ",1900.704347826087
Beyar's Market,"2241 Victory Boulevard, Staten Island",40.6122582,-74.1378388,4.6,493,"$72,727 ",1900.704347826087
King Food,"281 Broadway, Staten Island",40.634491,-74.117049,3.5,13,"$72,727 ",1900.704347826087
Target Grocery,"1520 Forest Avenue, Staten Island",40.6239589,-74.1392272,4.7,3,"$72,727 ",1900.704347826087
Stephenies Deli,"234 Jewett Avenue, Staten Island",40.63123840000001,-74.1308549,,0,"$72,727 ",1900.704347826087
