Address,Latitude,Longitude,Income,Density
Astoria,40.7643574,-73.92346189999999,"$73,539 ", 1758.095676172953
Battery Park/Tribeca,40.7162692,-74.0086323,"$57,565 ",2686.2555066079294
Bay Ridge,40.6263732,-74.0298767,"$73,633 ", 1793.8184438040344
Bayside,40.7602604,-73.7692026,"$86,731 ", 1071.1223551057958
Bedford Park,40.8700999,-73.8856912,"$37,648 ", 3300.6161137440754
Bedford Stuyvesant,40.6872176,-73.9417735,"$68,618 ", 2204.394812680115
Bensonhurst,40.6139307,-73.9921833,"$55,977 ", 2622.2046109510084
Borough Park,40.6350319,-73.9921028,"$57,754 ", 2757.665706051873
Brownsville,40.665214,-73.9125304,"$38,285 ", 1245.936599423631
Bushwick,40.6957755,-73.9170604,"$70,582 ", 1622.9682997118155
Canarsie,40.640248,-73.9060662,"$76,340 ", 2788.8040345821323
Central Harlem,40.8089419,-73.9482305,"$45,230 ", 5097.929515418502
Chelsea/Clinton,40.7127753,-74.0059728,"$61,873 ", 4548.237885462555
Concourse/Highbridge,40.836916,-73.9271294,"$41,636 ", 3470.165876777251
Coney Island,40.5755438,-73.9707016,"$41,541 ", 1502.564841498559
Crown Heights North,40.6694022,-73.9422324,"$73,101 ",1387.8530259365994
Crown Heights South,40.6694022,-73.9422324,"$62,958 ", 1418.28530259366
East Flatbush,40.6481656,-73.9299899,"$60,811 ", 2237.0605187319884
East Harlem,40.7957399,-73.93892129999999,"$41,341 ", 5308.854625550661
East New York,40.7127753,-74.0059728,"$52,670 ", 2635.3890489913542
East Tremont,40.8453781,-73.8909693,"$15,398 ", 1973.1753554502368
Elmhurst/Corona,40.73940350000001,-73.8779431,"$63,453 ", 1587.8380864765409
Flatbush/Midwood,40.6287728,-73.9454653,"$66,097 ", 2315.0432276657057
Flushing,40.7647238,-73.8306716,"$60,896 ", 2275.5657773689054
Fort Greene/Brooklyn Hts,40.6920638,-73.97418739999999,"$120,556 ", 1435.4034582132563
Fresh Meadows/Briarwood,40.7335179,-73.7801447,"$74,493 ", 1390.128794848206
Greenwich Village,40.7335719,-74.0027418,"$84,978 ", 3965.4625550660794
Howard Beach,40.6571222,-73.8429989,"$82,604 ", 1125.998160073597
Hunts Point,40.8094385,-73.8803315,"$10,966 ", 1238.0568720379147
Jackson Heights,40.7556818,-73.8830701,"$65,860 ", 1578.4360625574977
Jamaica/St. Albans,40.6895283,-73.76436880000001,"$68,682 ", 2078.371665133395
Lower East Side,40.715033,-73.9842724,"$49,685 ", 7192.819383259912
Manhattanville,40.8169443,-73.9558333,"$53,592 ", 4854.31718061674
Midtown Business District,40.7077143,-74.00827869999999,"$30,967 ", 2276.343612334802
Morrisania,40.8310814,-73.9058574,"$14,750 ", 1890.0947867298578
Mott Haven,40.8091068,-73.9228881,"$19,205 ", 2168.175355450237
Murray Hill/Stuyvesant,40.7478792,-73.9756567,"$117,596 ", 6288.325991189427
Park Slope,40.6710672,-73.98142279999999,"$144,733 ", 1508.7752161383285
Pelham Parkway,40.8553279,-73.8639594,"$57,394 ", 2683.2227488151657
Queens Village,40.7156628,-73.7419017,"$97,288 ", 1734.9862005519778
Rego Park/Forest Hills,40.7264913,-73.8526352,"$88,917 ", 1041.9227230910763
Ridgewood/Glendale,40.7016662,-73.8842219,"$69,726 ", 1556.4857405703772
Riverdale,40.89961830000001,-73.9088276,"$62,243 ", 2410.687203791469
Sheepshead Bay,40.5953955,-73.94575379999999,"$64,106 ", 2300.4322766570604
South Beach,40.5903824,-74.06680759999999,"$81,111 ", 2295.704347826087
St. George,40.6427017,-74.0799469,"$72,727 ", 1900.704347826087
Sunnyside/Woodside,40.7432759,-73.9196324,"$80,708 ", 1041.3983440662373
Sunset Park,40.6526345,-74.0091872,"$58,841 ", 1818.8760806916425
The Rockaways,40.5831668,-73.8153597,"$51,643 ", 1057.7552897884084
Throgs Neck,40.81678309999999,-73.8091202,"$57,007 ", 2852.890995260663
Tottenville,40.5083408,-74.23554039999999,"$103,200 ", 2786.24347826087
Unionport/Soundview,40.8273229,-73.8501349,"$39,322 ", 4082.890995260663
University Heights,40.8574661,-73.90965,"$34,894 ", 3037.9146919431278
Upper East Side,40.7735649,-73.9565551,"$130,527 ", 9688.105726872247
Upper West Side,40.7870106,-73.9753676,"$113,828 ", 9210.748898678414
Washington Heights,40.8417082,-73.9393554,"$54,717 ", 8370.925110132159
Williamsbridge,40.8787602,-73.85283559999999,"$61,528 ", 3610.0473933649287
Williamsburg/Greenpoint,40.7281455,-73.9660343,"$101,442 ", 2493.9913544668584
Woodhaven,40.6901366,-73.8566087,"$75,207 ", 1318.4636614535418
