Address,Latitude,Longitude,Income,Density,Traffic
Astoria,40.7643574,-73.92346189999999,73539.0,1758.095676172953,,1.6845566761729531
Battery Park/Tribeca,40.7162692,-74.0086323,57565.0,2686.2555066079294,,2.6286905066079296
Bay Ridge,40.6263732,-74.0298767,73633.0,1793.8184438040344,,1.7201854438040343
Bayside,40.7602604,-73.7692026,86731.0,1071.1223551057958,,0.9843913551057958
Bedford Park,40.8700999,-73.8856912,37648.0,3300.6161137440754,,3.2629681137440754
Bedford Stuyvesant,40.6872176,-73.9417735,68618.0,2204.394812680115,,2.135776812680115
Bensonhurst,40.6139307,-73.9921833,55977.0,2622.2046109510084,,2.5662276109510085
Borough Park,40.6350319,-73.9921028,57754.0,2757.665706051873,,2.6999117060518727
Brownsville,40.665214,-73.9125304,38285.0,1245.936599423631,,1.207651599423631
Bushwick,40.6957755,-73.9170604,70582.0,1622.9682997118157,,1.5523862997118159
Canarsie,40.640248,-73.9060662,76340.0,2788.8040345821323,,2.712464034582132
Central Harlem,40.8089419,-73.9482305,45230.0,5097.929515418502,,5.052699515418502
Chelsea/Clinton,40.7127753,-74.0059728,61873.0,4548.237885462555,,4.486364885462555
Concourse/Highbridge,40.836916,-73.9271294,41636.0,3470.165876777251,,3.428529876777251
Coney Island,40.5755438,-73.9707016,41541.0,1502.564841498559,,1.461023841498559
Crown Heights North,40.6694022,-73.9422324,73101.0,1387.8530259365994,,1.3147520259365992
Crown Heights South,40.6694022,-73.9422324,62958.0,1418.28530259366,,1.3553273025936599
East Flatbush,40.6481656,-73.9299899,60811.0,2237.0605187319884,,2.1762495187319884
East Harlem,40.7957399,-73.93892129999999,41341.0,5308.854625550661,,5.26751362555066
East New York,40.7127753,-74.0059728,52670.0,2635.3890489913542,,2.582719048991354
East Tremont,40.8453781,-73.8909693,15398.0,1973.1753554502368,,1.9577773554502367
Elmhurst/Corona,40.73940350000001,-73.8779431,63453.0,1587.8380864765409,,1.524385086476541
Flatbush/Midwood,40.6287728,-73.9454653,66097.0,2315.0432276657057,,2.2489462276657055
Flushing,40.7647238,-73.8306716,60896.0,2275.5657773689054,,2.2146697773689055
Fort Greene/Brooklyn Hts,40.6920638,-73.97418739999999,120556.0,1435.4034582132565,,1.3148474582132565
Fresh Meadows/Briarwood,40.7335179,-73.7801447,74493.0,1390.128794848206,,1.3156357948482063
Greenwich Village,40.7335719,-74.0027418,84978.0,3965.46255506608,,3.88048455506608
Howard Beach,40.6571222,-73.8429989,82604.0,1125.998160073597,,1.0433941600735972
Hunts Point,40.8094385,-73.8803315,10966.0,1238.056872037915,,1.2270908720379148
Jackson Heights,40.7556818,-73.8830701,65860.0,1578.4360625574975,,1.5125760625574975
Jamaica/St. Albans,40.6895283,-73.76436880000001,68682.0,2078.371665133395,,2.009689665133395
Lower East Side,40.715033,-73.9842724,49685.0,7192.819383259912,,7.143134383259912
Manhattanville,40.8169443,-73.9558333,53592.0,4854.31718061674,,4.80072518061674
Midtown Business District,40.7077143,-74.00827869999999,30967.0,2276.343612334802,,2.245376612334802
Morrisania,40.8310814,-73.9058574,14750.0,1890.0947867298576,,1.8753447867298576
Mott Haven,40.8091068,-73.9228881,19205.0,2168.175355450237,,2.148970355450237
Murray Hill/Stuyvesant,40.7478792,-73.9756567,117596.0,6288.325991189427,,6.170729991189428
Park Slope,40.6710672,-73.98142279999999,144733.0,1508.7752161383285,,1.3640422161383285
Pelham Parkway,40.8553279,-73.8639594,57394.0,2683.2227488151657,,2.6258287488151657
Queens Village,40.7156628,-73.7419017,97288.0,1734.9862005519778,,1.6376982005519778
Rego Park/Forest Hills,40.7264913,-73.8526352,88917.0,1041.9227230910765,,0.9530057230910766
Ridgewood/Glendale,40.7016662,-73.8842219,69726.0,1556.4857405703772,,1.4867597405703772
Riverdale,40.89961830000001,-73.9088276,62243.0,2410.687203791469,,2.3484442037914692
Sheepshead Bay,40.5953955,-73.94575379999999,64106.0,2300.4322766570604,,2.23632627665706
South Beach,40.5903824,-74.06680759999999,81111.0,2295.704347826087,,2.2145933478260873
St. George,40.6427017,-74.0799469,72727.0,1900.704347826087,,1.827977347826087
Sunnyside/Woodside,40.7432759,-73.9196324,80708.0,1041.398344066237,,0.9606903440662371
Sunset Park,40.6526345,-74.0091872,58841.0,1818.8760806916423,,1.7600350806916423
The Rockaways,40.5831668,-73.8153597,51643.0,1057.7552897884084,,1.0061122897884083
Throgs Neck,40.81678309999999,-73.8091202,57007.0,2852.890995260663,,2.795883995260663
Tottenville,40.5083408,-74.23554039999999,103200.0,2786.24347826087,,2.6830434782608696
Unionport/Soundview,40.8273229,-73.8501349,39322.0,4082.890995260663,,4.043568995260663
University Heights,40.8574661,-73.90965,34894.0,3037.914691943128,,3.0030206919431284
Upper East Side,40.7735649,-73.9565551,130527.0,9688.105726872249,,9.557578726872249
Upper West Side,40.7870106,-73.9753676,113828.0,9210.748898678414,,9.096920898678414
Washington Heights,40.8417082,-73.9393554,54717.0,8370.925110132159,,8.316208110132159
Williamsbridge,40.8787602,-73.85283559999999,61528.0,3610.0473933649287,,3.548519393364929
Williamsburg/Greenpoint,40.7281455,-73.9660343,101442.0,2493.9913544668584,,2.3925493544668583
Woodhaven,40.6901366,-73.8566087,75207.0,1318.4636614535418,,1.2432566614535419
