Name,Address,Latitude,Longitude,Rating,User Ratings Total,Random_Score
Olive Tree Marketplace,"1490 Clove Road, Staten Island",40.6122154,-74.0995203,4.1,451,
CTown Supermarkets,"2071 Clove Road, Staten Island",40.6049962,-74.0830544,4.1,468,
Met Food Victory Blvd,"1795 Victory Boulevard, Staten Island",40.6134364,-74.12345890000002,4.3,609,
Western Beef Supermarket,"425 Bay Street, Staten Island",40.6316885,-74.07581979999999,3.5,780,
Taster's Market,"330 Bradley Avenue, Staten Island",40.6031875,-74.1318332,4.5,357,
Key Food Supermarkets,"155 Bay Street, Staten Island",40.6379751,-74.0757593,4.0,936,26.0
Met Food Hylan Blvd,"1177 Hylan Boulevard, Staten Island",40.598783,-74.0822941,4.2,713,
Family Fruit Hylan – Staten Island Catering and Supermarket,"2270 Hylan Boulevard, Staten Island",40.57528689999999,-74.10455320000001,4.1,813,
Key Food Supermarkets,"300 Sand Lane, Staten Island",40.5921917,-74.0683365,4.1,602,134.0
FINE FARE,"1689 Richmond Road, Staten Island",40.588852,-74.10240999999999,4.0,8,
Aljazeera Halal Meat Market,"1101 Hylan Boulevard, Staten Island",40.5988072,-74.0792535,4.8,48,
SuperFresh Staten Island,"778 Manor Road, Staten Island",40.6082458,-74.1216354,4.2,201,
Stop 1 Supermarket,"515-517 Targee Street, Staten Island",40.6146882,-74.08453879999999,4.3,83,
Gourmet Island,"2107 Richmond Road, Staten Island",40.58177269999999,-74.1120212,4.5,242,
Istanbul Grand Bazaar,"2189 Hylan Boulevard, Staten Island",40.577167,-74.103416,4.5,113,
Market Fresh Supermarket,"570 Tompkins Avenue, Staten Island",40.61195639999999,-74.07148269999999,4.4,582,
AV FOOD MARKET,"530 Midland Avenue, Staten Island",40.57300489999999,-74.094638,,0,
Associated Marketplace of Broad St,"170 Broad Street, Staten Island",40.6240232,-74.0804172,4.2,171,
Food Dynasty Supermarkets,"1071 Bay Street, Staten Island",40.61746,-74.06784019999999,4.2,15,
Island Kosher,"2200-2210 Victory Boulevard, Staten Island",40.6120301,-74.13680370000002,4.7,241,
Beyar's Market,"2241 Victory Boulevard, Staten Island",40.6122582,-74.1378388,4.6,493,
