Name,Address,Latitude,Longitude,Rating,User Ratings Total
Journeys,"2655 Richmond Avenue, Staten Island",40.5817771,-74.1670944,4.1,26
Best Buy,"2795 Richmond Avenue Ste 39, Staten Island",40.5768159,-74.1674843,4.1,3044
Sterling Optical - Staten Island Mall,"2655 Richmond Avenue, Staten Island",40.5811685,-74.1647613,4,160
Cellairis,"2655 Richmond Avenue #2355, Staten Island",40.5811675,-74.16593189999999,2.4,53
Helzberg Diamonds,"2655 Richmond Avenue Suite 2130, Staten Island",40.581753,-74.165661,4.8,82
Archie Jacobson,"2655 Richmond Avenue, Staten Island",40.5824941,-74.1658352,3.3,31
Brighton,"2655 Richmond Avenue #2042, Staten Island",40.58257799999999,-74.1654288,4.6,27
Walgreens,"1551 Richmond Avenue, Staten Island",40.6101026,-74.1597713,3,129
Burlington,"1801 South Avenue, Staten Island",40.6012756,-74.1917814,3.7,778
Target,"621 West Edgar Road, Linden",40.61902969999999,-74.24342659999999,3.8,711
Kohl's,"2239 Forest Avenue, Staten Island",40.62818190000001,-74.1649156,4.3,2339
Trader Joe's,"2385 Richmond Avenue, Staten Island",40.58989939999999,-74.1658016,4.6,3591
Pep Boys,"773 Roosevelt Avenue, Carteret",40.5874724,-74.22658489999999,4,545
Miracle-Ear Hearing Aid Center,"2795 Richmond Avenue Unit 2783, Staten Island",40.5759069,-74.16546559999999,4.5,32
AT&T Store,"2865 Richmond Avenue Unit 11, Staten Island",40.5763823,-74.16908959999999,3.5,148
Zumiez,"2655 Richmond Avenue Suite 2320, Staten Island",40.5814971,-74.16516109999999,4.6,61
DICK'S Sporting Goods,"2505 Richmond Avenue, Staten Island",40.5864967,-74.16739799999999,3.9,590
Metro by T-Mobile,"2220 Forest Avenue, Staten Island",40.6261044,-74.1630867,4.1,146
P.C. Richard & Son,"1159 Roosevelt Avenue, Carteret",40.5919165,-74.2383831,4.9,4290
Costco Wholesale,"2975 Richmond Avenue, Staten Island",40.5728124,-74.16876859999999,4.4,6271
bp,"1705 Richmond Avenue, Staten Island",40.60685929999999,-74.16193799999999,3.7,24
ALDI,"1705 West Edgar Road, Linden",40.6115549,-74.2525497,4.5,1714
FedEx Office Print & Ship Center,"2305 Richmond Avenue, Staten Island",40.5910091,-74.1643303,3.6,92
Costco Vision Center,"2975 Richmond Avenue, Staten Island",40.57268,-74.168663,4,23
Apple Staten Island,"2655 Richmond Avenue, Staten Island",40.582476,-74.16608599999999,3.8,1110
Marshalls,"625 West Edgar Road, Linden",40.6187501,-74.2446763,4.3,1108
Public Storage,"1107 Goethals Road North, Staten Island",40.6234457,-74.1722521,4.7,416
Macy's,"100 Richmond Hill Road, Staten Island",40.5835395,-74.1652824,4.3,3696
The Home Depot,"701 West Edgar Road, Linden",40.6179383,-74.24892849999999,4.2,2046
Men's Wearhouse,"2865 Richmond Avenue, Staten Island",40.5763823,-74.16908959999999,3.9,246
Nitecap Megastore,"690 Gulf Avenue, Staten Island",40.6136237,-74.180786,4.4,57
Barnes & Noble,"2655 Richmond Avenue Suite 1590, Staten Island",40.5823811,-74.16714449999999,4.4,1496
Baskin-Robbins,"Expressway Plaza, 1445 Richmond Avenue, Staten Island",40.6117649,-74.1577994,3.3,6
JCPenney,"140 Marsh Avenue, Staten Island",40.5812698,-74.16377039999999,4.1,1377
AT&T Store,"689 West Edgar Road, Linden",40.6196813,-74.2485603,4.1,202
HearUSA,"2325 Richmond Avenue, Staten Island",40.5910654,-74.1641775,4.3,40
Baskin-Robbins,"Kenbar Plaza, 77 A Richmond Hill Road, Staten Island",40.5879525,-74.16527099999999,3.6,17
Ashley Store + Outlet,"1741 West Edgar Road, Linden",40.61195300000001,-74.255438,3.9,1197
Baskin-Robbins,"2222 Forest Avenue, Staten Island",40.6264669,-74.1637689,2.3,9
Michaels,"Pergament Mall, 2795 Richmond Avenue, Staten Island",40.5758248,-74.1650487,4.3,1005
P.C. Richard & Son,"2399 Richmond Avenue, Staten Island",40.588965,-74.1662917,4.9,3185
ShopRite of Carteret,"801 Roosevelt Avenue, Carteret",40.5893089,-74.2280206,4.1,1314
Lowe's Home Improvement,"2171 Forest Avenue, Staten Island",40.62764629999999,-74.1621361,4,1964
MAC Cosmetics,"112 Richmond Hill Road, Staten Island",40.5837538,-74.16532649999999,4.5,28
Carteret Liquors,"835 Roosevelt Avenue, Carteret",40.5905826,-74.22991350000001,3.9,59
"Pella Windows and Doors Showroom of Staten Island, NY","1931 Richmond Avenue, Staten Island",40.6008611,-74.16248449999999,4,48
Mother Mousse,"3767D Victory Boulevard, Staten Island",40.5980184,-74.1812671,4.4,174
Blinds To Go,"2845 Richmond Avenue, Staten Island",40.57653190000001,-74.169297,4.6,657
Staples,"653 West Edgar Road, Linden",40.6181044,-74.24796429999999,3.6,247
Ultimate Fashions II,"2655 Richmond Avenue, Staten Island",40.5807009,-74.1666755,4.5,268
Marshalls,"2485 Richmond Avenue, Staten Island",40.5874064,-74.1669661,4.1,1255
CVS Pharmacy,"621 West Edgar Road, Linden",40.61902969999999,-74.24342659999999,4.2,11
Deluxe Auto Sales,"500 Commerce Road, Linden",40.631074,-74.24040339999999,4.4,1656
The Home Depot,"2501 Forest Avenue, Staten Island",40.62893909999999,-74.17236079999999,4,1817
Torrid,"2655 Richmond Avenue Ste 2635, Staten Island",40.581018,-74.166083,4.4,154
Pandora,"2655 Richmond Avenue, Staten Island",40.5819506,-74.1657757,4.2,119
Walgreens,"833 Roosevelt Avenue, Carteret",40.5901156,-74.2291448,3.4,62
The Ink Gallery - Custom Tattoos & Body Art,"2031 Forest Avenue #6, Staten Island",40.6264987,-74.1570643,4.7,38
Associated Fresh of Victory Blvd,"3579 Victory Boulevard, Staten Island",40.6011846,-74.177127,4.1,339
Excellent Lease,"89 Debbie Street, Staten Island",40.610242,-74.1571527,N/A,0
The UPS Store,"1324 Forest Avenue, Staten Island",40.626062,-74.13384769999999,3.5,165
AutoZone Auto Parts,"1351 Forest Avenue, Staten Island",40.6266117,-74.13553300000001,4.3,405
Majors Records & Video,"12 Barrett Avenue, Staten Island",40.6252486,-74.13628039999999,4.4,117
Dunkin',"1351 Forest Ave Forest Plaza, Staten Island",40.6262299,-74.1355571,3.9,366
Verizon,"1267 Forest Avenue, Staten Island",40.62635,-74.1316775,4.7,752
ShopRite of Forest & Richmond,"985 Richmond Avenue, Staten Island",40.6230508,-74.1485647,4.2,2568
PetSmart,"1525 Forest Avenue, Staten Island",40.6261169,-74.1381644,4.4,1582
Divine Wood Furniture,"128 Port Richmond Avenue, Staten Island",40.6379367,-74.1336584,3.9,28
GameStop,"1756 Forest Avenue, Staten Island",40.62428939999999,-74.14723479999999,4.3,431
Pep Boys,"1941 Forest Avenue, Staten Island",40.626122,-74.15384,3.6,1049
CVS,"1933 Victory Boulevard, Staten Island",40.6128206,-74.1284426,3.2,172
Staten Island Hair & Beauty Supply,"1351 Forest Avenue, Staten Island",40.6262299,-74.1355571,3.3,80
Starbucks,"2070 Victory Boulevard, Staten Island",40.6122105,-74.1325981,4.1,781
Alfonso's Pastry Shoppe,"1899 Victory Boulevard, Staten Island",40.6130401,-74.1273451,4.3,275
Langdon Florist of Tribeca,"1263 Clove Road, Staten Island",40.6163227,-74.1031782,4.4,81
