Name,Address,Latitude,Longitude,Income,Density
La Bella Marketplace,"99 Ellis Street, Staten Island",40.516877,-74.243895,"$103,200 ",2786.24347826087
Scotty's Marketplace,"240 Page Avenue, Staten Island",40.51791600000001,-74.236158,"$103,200 ",2786.24347826087
Target Grocery,"2900 Veterans Road West, Staten Island",40.5287037,-74.2326435,"$103,200 ",2786.24347826087
Frank and Sal Italian Market Staten Island,"4060 Hylan Boulevard, Staten Island",40.5405837,-74.1471979,"$103,200 ",2786.24347826087
Top Tomato Supermarket - Amboy,"4045 Amboy Road, Staten Island",40.549669,-74.151583,"$103,200 ",2786.24347826087
Freddies Supermarket,"3830 Richmond Avenue Suite B, Staten Island",40.5448014,-74.16585660000001,"$103,200 ",2786.24347826087
Key Food Supermarkets,"244 Arden Avenue, Staten Island",40.5529558,-74.1938911,"$103,200 ",2786.24347826087
bp,"2151 Arthur Kill Road, Staten Island",40.558008,-74.2067074,"$103,200 ",2786.24347826087
Ideal Fresh of Rossville,"1006 Rossville Avenue, Staten Island",40.5516175,-74.2125744,"$103,200 ",2786.24347826087
Ideal Food Basket,"1006 Rossville Avenue, Staten Island",40.551603,-74.21270489999999,"$103,200 ",2786.24347826087
ALDI,"3285 Richmond Avenue, Staten Island",40.55965210000001,-74.16884399999999,"$103,200 ",2786.24347826087
La Primera Grocery,"63 Union Street #3325, Carteret",40.5701486,-74.2254749,"$103,200 ",2786.24347826087
Target Grocery,"2873 Richmond Avenue, Staten Island",40.5748033,-74.16679069999999,"$103,200 ",2786.24347826087
bp,"756 Roosevelt Avenue, Carteret",40.58652319999999,-74.2259256,"$103,200 ",2786.24347826087
Lidl,"283 Platinum Avenue, Staten Island",40.5801965,-74.16716219999999,"$103,200 ",2786.24347826087
Trader Joe's,"2385 Richmond Avenue, Staten Island",40.58989939999999,-74.1658016,"$81,111 ",2295.704347826087
Family Fruit Hylan – Staten Island Catering and Supermarket,"2270 Hylan Boulevard, Staten Island",40.57528689999999,-74.10455320000001,"$81,111 ",2295.704347826087
Gourmet Island,"2107 Richmond Road, Staten Island",40.58177269999999,-74.1120212,"$81,111 ",2295.704347826087
Istanbul Grand Bazaar,"2189 Hylan Boulevard, Staten Island",40.577167,-74.103416,"$81,111 ",2295.704347826087
bp,"2111 Hylan Boulevard, Staten Island",40.5790621,-74.1015168,"$81,111 ",2295.704347826087
AV FOOD MARKET,"530 Midland Avenue, Staten Island",40.57300489999999,-74.094638,"$81,111 ",2295.704347826087
FINE FARE,"1689 Richmond Road, Staten Island",40.588852,-74.10240999999999,"$81,111 ",2295.704347826087
Key Food Supermarkets,"300 Sand Lane, Staten Island",40.5921917,-74.0683365,"$81,111 ",2295.704347826087
Key Food Supermarkets,"3485 Neptune Avenue, Brooklyn",40.5772486,-74.00182459999999,"$41,541 ",1502.564841498559
bp,"2978 Cropsey Avenue, Brooklyn",40.582438,-73.98643419999999,"$41,541 ",1502.564841498559
Best Buy International Food,"411 Brighton Beach Avenue, Brooklyn",40.5776414,-73.96298089999999,"$41,541 ",1502.564841498559
Key Food Supermarkets,"505 Neptune Avenue, Brooklyn",40.58002889999999,-73.9722852,"$41,541 ",1502.564841498559
Fine Fare Supermarkets,"2901 Mermaid Avenue, Brooklyn",40.5759294,-73.9960534,"$41,541 ",1502.564841498559
Shop fair supermarket,"1901 Surf Avenue, Brooklyn",40.575407,-73.985815,"$41,541 ",1502.564841498559
Lone Star Gourmet Market,"1901 Surf Avenue, Brooklyn",40.575407,-73.985815,"$41,541 ",1502.564841498559
Food Bazaar,"2965 Cropsey Avenue, Brooklyn",40.582842,-73.9850053,"$41,541 ",1502.564841498559
Big Bazaar,"100 Brighton Beach Avenue, Brooklyn",40.5761561,-73.96806169999999,"$41,541 ",1502.564841498559
Fruit Dynasty,"259 Brighton Beach Avenue, Brooklyn",40.5769771,-73.9653119,"$41,541 ",1502.564841498559
Key Food Supermarket - Avenue Z,"599 Avenue Z, Brooklyn",40.58645009999999,-73.9717926,"$41,541 ",1502.564841498559
DOLLAR BAZAAR,"611 Brighton Beach Avenue, Brooklyn",40.5779703,-73.9611792,"$41,541 ",1502.564841498559
Tashkent Supermarket - Brighton Beach,"713 Brighton Beach Avenue, Brooklyn",40.5781768,-73.9599013,"$41,541 ",1502.564841498559
Vostochny Bazaar Supermarket,"1003-1007, 1009 Brighton Beach Avenue, Brooklyn",40.5781895,-73.9594268,"$41,541 ",1502.564841498559
Samarkand Bazar,"1003-1007, 1009 Brighton Beach Avenue, Brooklyn",40.57821089999999,-73.9594271,"$41,541 ",1502.564841498559
"New Eastern II Fruits, Vegetables, and Grocery Inc","231 Neptune Avenue, Brooklyn",40.58156759999999,-73.9622953,"$41,541 ",1502.564841498559
Golden Key 2,"1067 Brighton Beach Avenue, Brooklyn",40.57842429999999,-73.957576,"$41,541 ",1502.564841498559
Target Grocery,"8973-95 Bay Parkway, Brooklyn",40.5933704,-74.00108709999999,"$55,977 ",2622.2046109510084
bp,"3031 Coney Island Avenue, Brooklyn",40.5823848,-73.9596213,"$41,541 ",1502.564841498559
ALDI,"3785 Nostrand Avenue, Brooklyn",40.59125339999999,-73.9397973,"$64,106 ",2300.4322766570604
bp,"3010 Ocean Avenue, Brooklyn",40.5877381,-73.9494799,"$64,106 ",2300.4322766570604
American Grocery Outlet,"2914 Coney Island Avenue, Brooklyn",40.5853694,-73.9606278,"$41,541 ",1502.564841498559
Cherry Hill Gourmet Inc,"1901 Emmons Avenue, Brooklyn",40.5838861,-73.9487833,"$64,106 ",2300.4322766570604
bp,"2624 Coney Island Avenue, Brooklyn",40.592651,-73.9610351,"$64,106 ",2300.4322766570604
Deirdre Maeve's Supermarket,"202-36 Rockaway Point Boulevard, Breezy Point",40.5614151,-73.9124215,"$64,106 ",2300.4322766570604
Deirdre Maeve's Summer Store,Queens,40.5589878,-73.91995779999999,"$64,106 ",2300.4322766570604
Bay Fresh Supermarket Inc,"1510 Sheepshead Bay Road, Brooklyn",40.587075,-73.9535933,"$64,106 ",2300.4322766570604
Portokali Gourmet Market,"1509 Sheepshead Bay Road, Brooklyn",40.587381,-73.953667,"$64,106 ",2300.4322766570604
Sheepshead Bay Marketplace,"1717 Avenue Z, Brooklyn",40.5883695,-73.9518068,"$64,106 ",2300.4322766570604
Mtskheta Georgian Food Market,"389 Avenue X, Brooklyn",40.5909129,-73.9686639,"$41,541 ",1502.564841498559
fruit and vegetable Brothers,"249 Avenue X, Brooklyn",40.590294,-73.9736157,"$41,541 ",1502.564841498559
